SMILES,shift_value,shielding_value
O=C(C1CCCCC1C(F)(F)F)N1CCSCC1,-59.66,271.5033333
CN1NC(C(=O)O)C(Cl)C1C(F)(F)F,-59.85,281.5236667
CN1[NH]C(C(F)(F)F)C(-C2CCC(Cl)CC2)C1=N,-59.9,285.7413333
O=C(CC1CCCCC1C(F)(F)F)N1CCCNCC1,-59.95,279.9986667
FC(F)(F)C1CNC2[NH]NNC2C1,-59.97,283.226
O=C1[NH]CNC2C(C(F)(F)F)CCCC12,-59.99,279.5383333
CCCCCCCCCCOC(F)(F)F,-60.0,266.0043333
FC(F)(F)C1=NC=CS1,-60.0,266.0266667
FC(F)(F)C1=CSC=C1,-60.0,266.9433333
FC(F)(F)C1=CC=CC2=CC=CC=C21,-60.0,267.6273333
[H]C1=C(C)ON=C1C(F)(F)F,-60.0,268.448
FC(F)(F)C1=NNC2=CC=CC=C21,-60.0,268.745
CN(C1=CC=CC=C1)C(F)(F)F,-60.0,268.931
[H]C1=C(C(F)(F)F)N=NN1C1=CC=CC=C1,-60.0,269.5176667
[H]/C(=C(/C)C(=O)C1=CC=CC=C1)C(F)(F)F,-60.0,269.9036667
N#CC(F)F,-60.0,324.6195
CC1C(NC(=O)C2CCOC2)CCCC1C(F)(F)F,-60.07,279.283
CC1(C)NC(=O)N(CC2CCCCC2C(F)(F)F)C1=O,-60.11,277.3023333
CC1(C)CN(C(=O)C2CCNCC2C(F)(F)F)CCO1,-60.22,273.0353333
Cl.FC(F)(F)OCC1CCNCC1,-60.24,267.2086667
FC(F)(F)C1=CC(C(F)(F)F)=C(C(F)(F)F)C=C1C(F)(F)F,-60.3,267.4708333
O=C(NC1CCCNC1)NC1CCCCC1C(F)(F)F,-60.44,278.063
CC(=O)NC1CC(C)NN1-C1CCCCC1C(F)(F)F,-60.5,277.15
O=C(C1CCNCC1C(F)(F)F)N1CCC2(CCC2)C1,-60.5,280.3476667
[H]/C(=C(\[H])C(F)(F)F)C(F)(F)F,-60.6,267.9143333
O=C1NCCN2CNC(C(F)(F)F)C21,-60.63,283.4796667
CN1CC(N)C(C(F)(F)F)N1,-60.66,277.1376667
CNC(=O)[C@@H]1CSCN1C1CCC(C(F)(F)F)CN1,-60.67,280.215
CN1C(=O)CNC2CCC(C(F)(F)F)CC21,-60.7,284.4533333
COC1(C)CN(C(=O)NC2CCCCC2C(F)(F)F)C1,-60.71,279.039
CCN1NCC(C(=O)N2CC[C@@H](N)C2)C1C(F)(F)F.Cl,-60.84,271.0616667
CC(C)(O)C1CCCN1C1CCC(C(F)(F)F)CN1,-60.85,283.8543333
Cl.FC(F)(F)C1CCC2C(C1)CCN2,-60.9,266.2063333
OC1CCC(NC2NCC(C(F)(F)F)CC2Cl)CC1,-60.9,283.8936667
CN1NCCC1C(F)(F)F,-60.95,284.6066667
CC1C(N2C(=O)CN(C3CC3)C2=O)CCCC1C(F)(F)F,-60.98,277.858
O=C1CN(C2CCC(C(F)(F)F)CN2)C2CCCCC2N1,-60.98,282.359
OC1CCN(C2CCC(C(F)(F)F)CN2)CC1,-60.98,282.8273333
[H]/C=C(\F)Br,-61.0,248.759
FC(F)(F)C1=CNC=C1,-61.0,265.365
FC(F)(F)C1=CC2=CC=CC=C2N1,-61.0,266.7906667
FC(F)(F)C1=CSC2=CC=CC=C21,-61.0,268.5516667
CC1(C)CCCN1C(=O)C1NCCCC1C(F)(F)F,-61.0,276.8363333
O=C(NC1CCCCC1C(F)(F)F)N1CCC[C@@H]1CO,-61.01,282.8306667
O=C(NC1CCCCC1C(F)(F)F)N1CCCCN1,-61.05,279.4353333
CN1CC(C(F)(F)F)NN1,-61.06,281.4873333
CCN1NCC(C(=O)O)C1C(F)(F)F,-61.12,281.1336667
CC(N)C1CNC(C(F)(F)F)S1.Cl,-61.15,277.3713333
CN(C)C(=O)N1CCC(N2CCC(C(F)(F)F)N2)CC1,-61.28,283.209
CCOC(=O)C(F)(F)Br,-61.3,264.3285
CC1C(C(F)(F)F)N[NH]C1CO,-61.3,282.0313333
CC1COC2CCC(C(F)(F)F)CC2N1,-61.31,283.93
NC1NC2C(C(F)(F)F)CCCC2S1,-61.32,280.5596667
CC1CN(CC(=O)O)NC1C(F)(F)F,-61.33,277.198
CC(=O)N1CCOC2CCC(C(F)(F)F)CC21,-61.35,283.6013333
O=C(O)C1OCNC1C(F)(F)F,-61.36,282.4703333
CC1NC(C(F)(F)F)C(C(=O)O)O1,-61.38,280.0366667
Cl.FC(F)(F)C1CCC(OC2CCNC2)NC1,-61.42,279.577
FC(F)(F)C1CCNN1C1CCCNC1,-61.43,284.0143333
FC(F)(F)C1CNC(N2CCOCC2)C(Cl)C1,-61.5,283.9086667
CN1CCC(C(F)(F)F)N1,-61.51,282.6133333
CN1CCN(C(=O)NC2CCC(C(F)(F)F)CC2)CC1,-61.53,284.5716667
CC(C)(O)CN1CC(C(F)(F)F)CC(Cl)C1=O,-61.54,282.9036667
FC(F)(F)C1CC(CN2CCCC2)N[NH]1,-61.54,284.818
CC1(CC(F)(F)F)CN(C(=O)NC2CCCCN2)C1,-61.57,273.1686667
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)S1,-61.6,271.6046667
CC1CCC(NC(=O)N2CC[C@H](O)C2)CC1C(F)(F)F,-61.61,279.911
FC(F)(F)C1CCN(CC2CCON2)N1,-61.64,283.376
N#CC1(CN2CCC(C(F)(F)F)N2)CCC1,-61.65,284.0863333
