SMILES,shielding_value,shift_value
Cl.N[C@@H]1C[C@H]1C1CCCCC1OC(F)(F)F,265.0453333,-57.38
FC1=CC=C(F)C=C1,312.23,-120.0
O=C(C1CCCO1)N1CCCCC1C(F)F,330.596,-124.24
[H]C1=NC([H])=C([H])C(C(F)(F)F)=N1,275.824,-70.0
CC1=C(C(F)(F)F)SC(Cl)=N1,259.2116667,-59.4
CN1CC(C(=O)O)C(C(F)(F)F)C1,277.213,-56.05
COB(OC)C(F)(F)F,275.696,-70.0
O=C(C1CCCNC1O)N1CCC(CC(F)(F)F)CC1,274.2633333,-62.98
CC1CC(N2CCCC2CF)C(C#N)CN1,423.751,-225.56
CC[C@@H]1C[C@H]1NC(=O)C1CC(F)C[NH]1,387.247,-163.97
CC1(C)NC(=O)N(CC2CCCCC2C(F)(F)F)C1=O,277.3023333,-60.11
CC1(C)C[C@@H]1NC(=O)C1(CF)CCOCC1,431.413,-224.65
FC1(CC2=CC=CC=C2)CO1,348.024,-134.0
C/C=C(/C1=CC=CC=C1)C(F)F,323.9715,-117.0
O=C1[NH]CCN2NC(C(F)(F)F)CC12,283.0603333,-61.71
O=S(=O)(C1CCCCC1OC(F)(F)F)N1CCCC1,265.6603333,-56.35
O=C(O)C1CC2CCC(C(F)(F)F)NC2[NH]1,285.18,-66.1
O=C(N[C@H]1CCC[C@H]1F)C1CCCCN1,394.17,-189.38
COC(=O)C(O)(O)C(F)(F)F,285.6776667,-84.0
O=C1C=C(OC(F)F)CCC1,289.251,-85.0
CCC1OC(C(=O)N2CCOC(C(F)F)C2)CC1C,340.4105,-130.7
FC(F)(F)C1=NC2=CC=CC=C2C2=C1C=CC=C2,270.539,-63.5
CN1CC(C(=O)NC2CC(C)(F)C2)CN1,334.859,-137.82
CC(F)(F)C(=O)C1=CC=CC=C1,309.816,-94.0
F/C=C/F,350.227,-165.0
CNC(=O)N1CCCC(C(F)(F)F)C1C,279.6466667,-69.56
CC1CCC(S(=O)(=O)N(C)C2CCNCC2)C(F)C1.Cl,337.861,-111.14
O=S(=O)(C1CC1)N1C[C@@H](F)C[C@H]1CO,381.508,-171.75
FCN1C=NC2=C1C=CC=C2,371.237,-164.0
FC(F)(F)C1=CC=C(C(F)(F)F)C=C1,269.7158333,-63.5
CN1C(C(F)(F)F)=NC2=C1C=CC=C2,271.8293333,-63.0
O=C(C1=CC=CC=C1)C(F)(F)F,277.16,-72.0
CC1C[NH]CC1C(=O)N1C[C@@H](F)C[C@H]1CO,401.053,-167.39
CC1=CC(F)=CS1,326.022,-128.0
N#CC(F)C1=CC=C2C=CC=CC2=C1,382.398,-167.0
O=C1CCN(C2CCCN(CC(F)(F)F)C2=O)CCN1,277.7736667,-69.35
CC(F)C1=CC2=C(C=CC=C2)C=C1,395.33,-167.0
FC(F)(F)C1=NC=CC2=CC=CC=C21,269.9036667,-63.0
C[C@@H]1OCCN(C(=O)C2CCN(C)N2)[C@@H]1C(F)(F)F,270.339,-63.78
CCOC(=O)C(F)(F)F,281.3213333,-76.0
CNC(=O)[C@@H]1CSCN1C1CCC(C(F)(F)F)CN1,280.215,-60.67
CC1NC(O)CC(C(F)(F)F)N1,288.3623333,-70.92
CC1CC(CNC(=O)C2CC(F)C[NH]2)ON1,369.856,-163.66
CC1=CCCN(C2NCC(C(F)F)CN2)C1,332.6845,-110.39
O=C1CC(CN2CCC(C(F)(F)F)CC2)CN1,284.9283333,-73.52
CCOC(=O)C(F)(F)I,258.707,-57.9
O=C(COC(F)F)N1CC2CCCC2C1,291.705,-85.03
CC1CNC(N2CCOC(CF)C2)S1,442.495,-231.81
CC1CC(C(=O)NC2CC(C)(F)C2)CCN1,357.374,-137.52
N#CC1CCC(CN2NC(C(F)(F)F)CCC2=O)CC1,284.7796667,-67.18
CN(C1=CC=CC=C1)C(F)(F)F,268.931,-60.0
FC1=CNC2=CC=CC=C12,372.94,-175.0
FC(F)C1=CSC=C1,322.7975,-108.0
CCOC(=O)CC(=O)C(F)(F)F,280.6216667,-75.0
CC1(CC(F)(F)F)CN(C(=O)NC2CCCCN2)C1,273.1686667,-61.57
CC1NCCC(N2CCCC(F)C2)N1,394.41,-184.23
NC1CC(C(F)(F)F)NCN1,288.2786667,-70.64
O=C(C1CCSN1)N1CCC(CF)CC1,430.83,-223.36
CC1CCCC(F)C1NCC(=O)N1CCOCC1,376.081,-139.91
FC(F)Cl,275.483,-73.0
NC1CCC2C(C1)CCC(=O)N2CC(F)F,326.3545,-121.67
FC1=CC=NC2=CC=CC=C12,305.026,-113.0
[H]C(=O)C(C)C(F)(F)F,277.1183333,-68.0
F/C(Cl)=C/C1=CC=C(I)C=C1,263.697,-73.0
CCCCCCCCC1=NC2=CC=CC=C2C(C(F)(F)F)=C1,269.217,-63.0
F/C=C/COCC1=CC=CC=C1,319.601,-125.0
FC(F)(F)/C(=N/C1=CC=CC=C1)C1=CC=CC=C1,274.9413333,-70.0
CC(=O)C(F)(F)C(=O)C1=CC=CC=C1,310.082,-109.0
CCC1NCNC(N2CCCC2C2CCCO2)C1F,376.658,-150.49
FC(F)(F)SC1=CC=CC=C1,249.439,-43.0
FC(F)SCC1=CC=CC=C1,304.944,-94.0
O=C(O)C1SCNC1C(F)F,333.7625,-114.24
