SMILES,shielding_value,shift_value
CC1CCC(F)C2OC(C(=O)O)CC12,399.719,-142.1
CC1CC(F)CCC1OCC1CNNN1C,383.211,-122.24
O=C(NC1CCC2CN[NH]C2C1)C1CCC(F)CN1,390.948,-121.42
CCCCC(=O)OCF,359.415,-93.0
CCS(=O)(=O)N1CCN(C(C)C(F)(F)F)CC1,278.3716667,-70.96
CN1CC(C(=O)N2CCOC3CC(F)CCC32)CCC1=O,372.991,-114.99
CC1NC2CC(F)CCC2[NH]1,385.419,-121.11
CC1CN(-C2CCC(F)CC2)NC1N,383.765,-118.35
CNC1CCN(C(=O)C2CC(C)CCC2F)C1.Cl,393.791,-121.82
CC(C)(N)C(=O)N1CCN(C(=O)CC(F)(F)F)CC1.Cl,270.045,-62.7
O=C(NCC1CCCNC1)C1CCC(F)CC1,381.851,-107.82
CN(C1NCCCC1F)[C@H]1CC[C@H](O)CC1,392.928,-127.62
O=C(NCC1CCCCN1)NC1CCCC(Cl)C1F,402.668,-129.27
CC1OCNC1C(=O)NC1CCC(C2CCCC(F)C2)C1,378.166,-113.82
O=C(NCC1CCCS1)C1CCNCC1F,392.642,-129.03
CC1CCC(C(C)NC(=O)C2CSCN2)CC1F.Cl,404.244,-118.14
[H]C1=NC([H])=C([H])C(C(F)(F)F)=N1,275.824,-70.0
O=C1CCC(C2CCC(F)CC2)N1,400.446,-115.44
O=S(=O)(CC1CCC(F)CC1)N1CCCC1,386.746,-113.46
CC(=O)NC1(C2CCC(F)CC2)CCCC1,386.074,-117.59
CC(=O)N(CC1CCCS1)C1CCC(F)CC1,380.816,-113.45
N#CC1CCC(N2CCN3CCCCC3C2)C(F)C1,403.908,-120.08
CO[C@H]1C[C@@H](CO)N(C(=O)C2CCC(F)CC2Cl)C1,394.587,-108.89
[H]C1(C(F)F)CCCCC1,336.3265,-124.0
O=C(C1=CC=CC=C1)C(F)(F)Br,261.4085,-58.0
CC1CCNC(N2CC(CF)C2)C1C#N,426.146,-227.37
O=C(NC1CCCCC1C(F)(F)F)C1CCCCN1,279.4033333,-69.73
CO[C@H]1C[C@@H](CO)N(C(=O)C2CC3C(F)CCCC3[NH]2)C1,387.231,-121.35
CC1CCC(F)CC1NCC1NCCCN1,379.503,-116.25
O=C(C1CCC(F)CC1)N1C2COCC1C2,386.586,-107.94
FC1CCCCC1,400.237,-175.0
O=C(NCC1CCC(F)CC1)C1CCOC1,387.11,-115.94
CC1CC(C(=O)N2CCC2)CC(C)C1OC(F)F,282.311,-79.46
FC(F)(F)CSC1=CC=CC=C1,274.858,-69.0
CN1CCC(CS(=O)(=O)C2CCC(F)CC2)CC1=O,381.888,-102.38
O=C(C1CCNCC1)N1CCC[C@@H]1C(F)F,339.2005,-126.04
FCC1CCCN1C1NCCCN1,432.478,-227.16
[H]C(F)(OCC)C(=O)OCC,327.839,-133.0
CC1CNCCN(CC(F)(F)F)C1,281.2813333,-69.75
O=C(C1CCCNC1)N1CCOC2CCCC(F)C2C1,394.314,-116.72
CC1CCC(NC(=O)[C@H]2CSCN2)CC1C(F)(F)F.Cl,273.613,-62.15
CNC(=O)C1CC(NC(=O)N2CCCCCC2)CCC1F,387.365,-121.12
CN=S(=O)(C1=CC=CC=C1)C(F)(F)F,276.0403333,-72.0
CCCCC1=C(F)OC2=CC=CC=C21,316.774,-120.0
CC1NCCC(N2CCCC(F)C2)N1,394.41,-184.23
CN(C)C(=O)N1CCC(N2CCC(C(F)(F)F)N2)CC1,283.209,-61.28
N#CC1C(N)[NH]C2CC(F)CCC12,390.252,-122.85
CC1CCC(S(=O)(=O)N2CCNCC2)CC1F,399.515,-114.17
O=C(NC1(CF)CCC1)C1=CCCC1,435.923,-224.95
[H]C1=C(C(F)F)ON=C1C1=CC=CC=C1,316.688,-119.0
O=C(C1CC1)N1CCOC2CCC(F)CC21,388.204,-122.36
CCCC/N=C(/C1=CC=CC=C1)C(F)(F)F,275.343,-72.0
O=[N+]([O-])C(F)(F)F,276.1766667,-74.0
O=C(NC1CCC(Cl)CC1F)C1CCCO1,382.39,-120.81
CN1CCN(C(=O)CC(F)(F)F)C(CN)C1.Cl,270.061,-62.8
CC1CCC(F)C(S(=O)(=O)NC2CCCC(C)N2)C1,382.95,-116.51
CC(C(=O)N1CCCC[C@@H]1C(=O)O)C1CCCCC1F,390.05,-118.6
O=C(CC1CCCCC1C(F)(F)F)N1CCCNCC1,279.9986667,-59.95
CC1(C)CN(C(=O)C2CCNCC2)CCC1C(F)(F)F,275.758,-64.62
[H]/C(C(=O)CC)=C(/F)CCCC,261.741,-78.0
N#CCCCS(=O)(=O)N1CCC2CCC(F)CC21,382.3,-114.69
CC1(C)COCCN1CC1COC(-C2CCCC(F)C2)N1,384.643,-112.3
CCCCCCCCCCCCSCF,403.729,-184.0
CN(CC1CCC(F)CC1)C(=O)C1CCC1,377.937,-115.78
O=S1(=O)CCC[C@@]2(C(F)(F)F)CNC[C@H]21,280.191,-73.25
FC1(F)CCCC1,317.639,-93.3
CC(=O)N1CCOC2CCC(C(F)(F)F)CC21,283.6013333,-61.35
CC1CCC(F)C(C(=O)NC2NNC(C3CC3)N2C)C1,390.742,-119.29
FC1=NC=CN=C1,276.337,-80.0
CC1CC(NCC2CCC(F)CC2C)NO1,377.406,-116.6
CC12CCC(=O)N1C(C(=O)NCC(F)(F)F)CS2,282.381,-71.99
O=C(O)C1CCN(CCF)N1,419.574,-222.27
CN(CC1CCCO1)C(=O)NC1CCCCC1F,383.187,-124.5
[H]C1=C(C(F)(F)F)N=NN1C1=CC=CC=C1,269.5176667,-60.0
FC(F)(F)C1=CN=CN1,265.2923333,-62.0
FC1CCCC(Cl)C1CN1CCNC1,388.592,-113.9
O=C(O)C1CCOC1C(F)(F)F,282.2776667,-61.99
O=C(C1CCCCC1F)N1CCN(C2NCCS2)CC1,403.39,-116.87
CC1CCN(C(=O)CNC2CCC(F)CC2)CC1,400.786,-126.93
O=C(NCC1CCCCC1F)NC1CCC2NCNN2C1,392.021,-119.81
C[C@@H]1COCCN1CC1CCNCC1F,402.835,-129.95
CCCCCCCC(F)(F)[N+](=O)[O-],294.4155,-87.0
FC1=CN=CC(F)=C1,315.631,-124.0
CN(C(=O)CC(F)(F)F)C1CCC2C(C1)OCO2,274.9323333,-62.5
CNC(=O)NC1CCC(C(F)(F)F)NC1,286.295,-66.35
CC1NN(CC(F)F)CC1C(=O)O,328.8635,-123.95
CCN1CC(NC(=O)N2CCC(C(F)(F)F)CC2)CN1,285.318,-73.63
O=C(C1=CC=CC=C1)C(F)C1=CC=CC=C1,394.872,-99.0
CC1(F)CC(NC(=O)C2CCCS2)C1,357.511,-136.72
FC(F)(F)C1NCC[NH]1,288.4363333,-63.2
CC1CN(C(N)=O)CCN1CC(F)(F)F,279.1636667,-68.55
CC1CCC(CNC(=O)C2CCOC2C)CC1F,391.78,-117.99
FC1CNC(N2C[C@@H]3C[C@H]2CS3)NC1,403.746,-156.52
O=C(CC1C=CCC1)N1CCC(O)(C(F)(F)F)CC1,291.1126667,-84.32
O=C(NC1CCCC(F)C1)C1(O)CCOC1,386.044,-112.26
O=C(NC1CCN(C(=O)C2CC2)CC1)C1CCC(F)CC1,380.114,-108.24
CC1CC(CN2CCC[C@@H]2C(F)F)ON1,325.776,-124.63
COCC(=O)NC1CC2C(CC1F)CCC(=O)N2,402.385,-131.6
CN1CC(N)C(C(F)(F)F)N1,277.1376667,-60.66
CC(C)(C)C(F)F,335.366,-129.0
N#CC(F)F,324.6195,-60.0
CCC(F)C(=O)N(C)C,409.561,-187.0
OC/C=C(/F)C1=CC=CC=C1,290.606,-98.0
CC1CC(C(=O)NC2CC(C(N)=O)N(C)C2)CCC1F,375.721,-110.51
