SMILES,shift_value,split
CC1=C(C(F)(F)F)SC(Cl)=N1,-59.4,Train
CN1CC(C(=O)O)C(C(F)(F)F)C1,-56.05,Train
COB(OC)C(F)(F)F,-70.0,Train
O=C(C1CCCNC1O)N1CCC(CC(F)(F)F)CC1,-62.98,Train
CC1CC(N2CCCC2CF)C(C#N)CN1,-225.56,Train
CC[C@@H]1C[C@H]1NC(=O)C1CC(F)C[NH]1,-163.97,Train
CC1(C)NC(=O)N(CC2CCCCC2C(F)(F)F)C1=O,-60.11,Train
CC1(C)C[C@@H]1NC(=O)C1(CF)CCOCC1,-224.65,Train
FC1(CC2=CC=CC=C2)CO1,-134.0,Train
C/C=C(/C1=CC=CC=C1)C(F)F,-117.0,Train
O=C1[NH]CCN2NC(C(F)(F)F)CC12,-61.71,Train
O=S(=O)(C1CCCCC1OC(F)(F)F)N1CCCC1,-56.35,Train
O=C(O)C1CC2CCC(C(F)(F)F)NC2[NH]1,-66.1,Train
O=C(N[C@H]1CCC[C@H]1F)C1CCCCN1,-189.38,Train
COC(=O)C(O)(O)C(F)(F)F,-84.0,Train
O=C1C=C(OC(F)F)CCC1,-85.0,Train
CCC1OC(C(=O)N2CCOC(C(F)F)C2)CC1C,-130.7,Train
FC(F)(F)C1=NC2=CC=CC=C2C2=C1C=CC=C2,-63.5,Train
CN1CC(C(=O)NC2CC(C)(F)C2)CN1,-137.82,Train
CC(F)(F)C(=O)C1=CC=CC=C1,-94.0,Train
F/C=C/F,-165.0,Train
CNC(=O)N1CCCC(C(F)(F)F)C1C,-69.56,Train
CC1CCC(S(=O)(=O)N(C)C2CCNCC2)C(F)C1.Cl,-111.14,Train
O=S(=O)(C1CC1)N1C[C@@H](F)C[C@H]1CO,-171.75,Train
FCN1C=NC2=C1C=CC=C2,-164.0,Train
FC(F)(F)C1=CC=C(C(F)(F)F)C=C1,-63.5,Train
CN1C(C(F)(F)F)=NC2=C1C=CC=C2,-63.0,Train
O=C(C1=CC=CC=C1)C(F)(F)F,-72.0,Train
CC1C[NH]CC1C(=O)N1C[C@@H](F)C[C@H]1CO,-167.39,Train
CC1=CC(F)=CS1,-128.0,Train
N#CC(F)C1=CC=C2C=CC=CC2=C1,-167.0,Train
O=C1CCN(C2CCCN(CC(F)(F)F)C2=O)CCN1,-69.35,Train
CC(F)C1=CC2=C(C=CC=C2)C=C1,-167.0,Train
FC(F)(F)C1=NC=CC2=CC=CC=C21,-63.0,Train
C[C@@H]1OCCN(C(=O)C2CCN(C)N2)[C@@H]1C(F)(F)F,-63.78,Train
CCOC(=O)C(F)(F)F,-76.0,Train
CNC(=O)[C@@H]1CSCN1C1CCC(C(F)(F)F)CN1,-60.67,Train
CC1NC(O)CC(C(F)(F)F)N1,-70.92,Train
CC1CC(CNC(=O)C2CC(F)C[NH]2)ON1,-163.66,Train
CC1=CCCN(C2NCC(C(F)F)CN2)C1,-110.39,Train
O=C1CC(CN2CCC(C(F)(F)F)CC2)CN1,-73.52,Train
CCOC(=O)C(F)(F)I,-57.9,Train
O=C(COC(F)F)N1CC2CCCC2C1,-85.03,Train
CC1CNC(N2CCOC(CF)C2)S1,-231.81,Train
CC1CC(C(=O)NC2CC(C)(F)C2)CCN1,-137.52,Train
