SMILES,shift_value,split
CCS(=O)(=O)N1CCN(C(C)C(F)(F)F)CC1,-70.96,Train
CN1CC(C(=O)N2CCOC3CC(F)CCC32)CCC1=O,-114.99,Train
CC1NC2CC(F)CCC2[NH]1,-121.11,Train
CC1CN(-C2CCC(F)CC2)NC1N,-118.35,Train
CNC1CCN(C(=O)C2CC(C)CCC2F)C1.Cl,-121.82,Train
CC(C)(N)C(=O)N1CCN(C(=O)CC(F)(F)F)CC1.Cl,-62.7,Train
O=C(NCC1CCCNC1)C1CCC(F)CC1,-107.82,Train
CN(C1NCCCC1F)[C@H]1CC[C@H](O)CC1,-127.62,Train
O=C(NCC1CCCCN1)NC1CCCC(Cl)C1F,-129.27,Train
CC1OCNC1C(=O)NC1CCC(C2CCCC(F)C2)C1,-113.82,Train
O=C(NCC1CCCS1)C1CCNCC1F,-129.03,Train
CC1CCC(C(C)NC(=O)C2CSCN2)CC1F.Cl,-118.14,Train
[H]C1=NC([H])=C([H])C(C(F)(F)F)=N1,-70.0,Train
O=C1CCC(C2CCC(F)CC2)N1,-115.44,Train
O=S(=O)(CC1CCC(F)CC1)N1CCCC1,-113.46,Train
CC(=O)NC1(C2CCC(F)CC2)CCCC1,-117.59,Train
CC(=O)N(CC1CCCS1)C1CCC(F)CC1,-113.45,Train
N#CC1CCC(N2CCN3CCCCC3C2)C(F)C1,-120.08,Train
CO[C@H]1C[C@@H](CO)N(C(=O)C2CCC(F)CC2Cl)C1,-108.89,Train
[H]C1(C(F)F)CCCCC1,-124.0,Train
O=C(C1=CC=CC=C1)C(F)(F)Br,-58.0,Train
CC1CCNC(N2CC(CF)C2)C1C#N,-227.37,Train
O=C(NC1CCCCC1C(F)(F)F)C1CCCCN1,-69.73,Train
CO[C@H]1C[C@@H](CO)N(C(=O)C2CC3C(F)CCCC3[NH]2)C1,-121.35,Train
CC1CCC(F)CC1NCC1NCCCN1,-116.25,Train
O=C(C1CCC(F)CC1)N1C2COCC1C2,-107.94,Train
FC1CCCCC1,-175.0,Train
O=C(NCC1CCC(F)CC1)C1CCOC1,-115.94,Train
CC1CC(C(=O)N2CCC2)CC(C)C1OC(F)F,-79.46,Train
FC(F)(F)CSC1=CC=CC=C1,-69.0,Train
CN1CCC(CS(=O)(=O)C2CCC(F)CC2)CC1=O,-102.38,Train
O=C(C1CCNCC1)N1CCC[C@@H]1C(F)F,-126.04,Train
FCC1CCCN1C1NCCCN1,-227.16,Train
[H]C(F)(OCC)C(=O)OCC,-133.0,Train
CC1CNCCN(CC(F)(F)F)C1,-69.75,Train
O=C(C1CCCNC1)N1CCOC2CCCC(F)C2C1,-116.72,Train
CC1CCC(NC(=O)[C@H]2CSCN2)CC1C(F)(F)F.Cl,-62.15,Train
CNC(=O)C1CC(NC(=O)N2CCCCCC2)CCC1F,-121.12,Train
CN=S(=O)(C1=CC=CC=C1)C(F)(F)F,-72.0,Train
CCCCC1=C(F)OC2=CC=CC=C21,-120.0,Train
CC1NCCC(N2CCCC(F)C2)N1,-184.23,Train
CN(C)C(=O)N1CCC(N2CCC(C(F)(F)F)N2)CC1,-61.28,Train
N#CC1C(N)[NH]C2CC(F)CCC12,-122.85,Train
CC1CCC(S(=O)(=O)N2CCNCC2)CC1F,-114.17,Train
O=C(NC1(CF)CCC1)C1=CCCC1,-224.95,Train
