SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
CN1CC(NC(=O)C2CCC(F)CC2Cl)CCC1=O,-107.63,388.573,392.5351533476803,3.962153347680328
CC1NC2CC(F)CCC2CC1C(=O)O,-107.66,389.351,401.33512322817154,11.98412322817154
CC1CC(C(=O)N2CCOCC2)C2CCC(F)CC2N1,-107.73,374.164,390.2624418882695,16.09844188826952
O=C(NCC1CCCNC1)C1CCC(F)CC1,-107.82,381.851,385.3663188983035,3.5153188983035197
N#CC1C(F)CCCC1N[C@H]1C[C@@H](O)C1,-107.82,398.318,390.9026731089774,-7.415326891022573
CC1CCCC(S(=O)(=O)N2CCOCC2C2CC2)C1F,-107.9,382.027,387.7311201409895,5.704120140989517
O=C(C1CCC(F)CC1)N1C2COCC1C2,-107.94,386.586,398.2156248363495,11.629624836349478
O=C(NCC1COC2CCCCC2O1)C1CCC(F)CC1,-107.97,380.966,394.3362472844587,13.370247284458683
N#CC1CCC(CNC2CCOC2)CC1F,-107.98,381.303,397.9929948014405,16.68999480144049
N#CC1C(F)CCCC1NCC1CCCCN1,-108.0,395.714,394.7627777988125,-0.9512222011874768
CC(=O)N1CCCC(C2NC(-C3CCC(F)CC3)NO2)C1,-108.06,383.395,395.12110799199866,11.726107991998674
N#CC1CCC(CN2CCOCC2)CC1F,-108.11,381.484,397.6218575607877,16.137857560787722
O=C(N[C@@H]1C[C@H]1CO)C1CCC(F)CC1,-108.12,384.206,392.3069274918184,8.100927491818425
CC1CCC(C(C)NC(=O)C2CCC(F)CC2)O1,-108.13,381.287,396.4693990441232,15.1823990441232
CC1CC(=O)NCCN1CC1CCC(C#N)C(F)C1,-108.17,374.855,387.3968813830668,12.541881383066766
COCC1CCN1C1CCCC(F)C1C#N,-108.22,380.227,390.84370999732704,10.616709997327064
O=C(NC1CCN(C(=O)C2CC2)CC1)C1CCC(F)CC1,-108.24,380.114,390.69062368901086,10.576623689010887
Cl.NCC1NOC2CC(F)CCC12,-108.26,380.954,385.6341623036713,4.680162303671239
CC(=O)NC1CN(C2CCCC(F)C2C#N)C1,-108.27,387.261,398.3384011251063,11.077401125106292
N#CC1C(F)CCCC1N[C@@H]1C[C@H]1CO,-108.29,380.221,390.1507647886823,9.929764788682292
