SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
CC1CCCC(S(=O)(=O)N2CCOCC2C2CC2)C1F,-107.9,382.027,409.799,27.77199999999999
O=C(C1CCC(F)CC1)N1C2COCC1C2,-107.94,386.586,384.55,-2.0360000000000014
O=C(NCC1COC2CCCCC2O1)C1CCC(F)CC1,-107.97,380.966,381.269,0.3029999999999972
N#CC1CCC(CNC2CCOC2)CC1F,-107.98,381.303,391.263,9.95999999999998
N#CC1C(F)CCCC1NCC1CCCCN1,-108.0,395.714,395.923,0.2090000000000031
CC(=O)N1CCCC(C2NC(-C3CCC(F)CC3)NO2)C1,-108.06,383.395,385.435,2.0400000000000205
N#CC1CCC(CN2CCOCC2)CC1F,-108.11,381.484,384.798,3.3140000000000214
O=C(N[C@@H]1C[C@H]1CO)C1CCC(F)CC1,-108.12,384.206,384.206,0.0
CC1CCC(C(C)NC(=O)C2CCC(F)CC2)O1,-108.13,381.287,384.81,3.523000000000025
CC1CC(=O)NCCN1CC1CCC(C#N)C(F)C1,-108.17,374.855,380.881,6.025999999999954
COCC1CCN1C1CCCC(F)C1C#N,-108.22,380.227,385.623,5.396000000000015
O=C(NC1CCN(C(=O)C2CC2)CC1)C1CCC(F)CC1,-108.24,380.114,384.146,4.032000000000039
Cl.NCC1NOC2CC(F)CCC12,-108.26,380.954,366.294,-14.660000000000023
CC(=O)NC1CN(C2CCCC(F)C2C#N)C1,-108.27,387.261,384.29,-2.971000000000004
N#CC1C(F)CCCC1N[C@@H]1C[C@H]1CO,-108.29,380.221,396.266,16.045000000000016
COCC1CCN1C(=O)C1CCC(F)CC1,-108.37,398.634,398.744,0.1100000000000136
FC1CCC2CCCNC2C1Cl,-108.59,393.833,386.425,-7.408000000000015
CC1CC(S(=O)(=O)N(C)C2CCCCN2)CCC1F,-108.67,393.373,394.488,1.115000000000009
O=C(C1CCC(F)CC1Cl)N1CCCNCC1,-108.69,391.327,396.061,4.7339999999999804
CCCN1CCC(C2NOC3CC(F)CCC23)CC1,-108.71,398.877,393.817,-5.060000000000002
O=C(NC1CCCCC1O)C1CCC(F)CC1Cl,-108.79,388.362,395.466,7.103999999999985
N#CC1CCC(F)C(CNC(=O)NC2CCCCC2O)C1,-108.79,392.826,414.675,21.84899999999999
CN(C)CC1CCCN1S(=O)(=O)C1CCCCC1F,-108.84,382.916,383.439,0.5230000000000246
CO[C@H]1C[C@@H](CO)N(C(=O)C2CCC(F)CC2Cl)C1,-108.89,394.587,394.587,0.0
CC(C)C1NC(=O)N(CC2CCC(F)C(C#N)C2)C1=O,-108.92,393.493,393.632,0.13900000000001
FC1CCC(-C2NC(CN3CCSCC3)CO2)CC1,-108.94,378.196,385.106,6.909999999999968
CC1CCC(S(=O)(=O)N2CCCO2)C(F)C1,-108.94,380.922,396.229,15.30699999999996
[H]/C(C1=CC=CC=C1)=C(/F)CO,-109.0,283.32,283.32,0.0
CC1CC(S(=O)(=O)N2CCCC2)CCC1F,-109.13,394.288,394.163,-0.125
CN(CC1CCCO1)S(=O)(=O)C1CCCCC1F,-109.29,407.526,383.867,-23.658999999999992
O=C1CCC2CN(S(=O)(=O)C3CCCCC3F)CCN12,-109.31,383.149,393.817,10.668000000000006
CCN(C1CCNCC1)S(=O)(=O)C1CCCCC1F,-109.56,381.709,403.946,22.237000000000023
CC1ONC(-C2CCC(F)CC2)C1C(=O)N1CCOCC1,-109.63,383.512,400.214,16.701999999999998
O=C(C1CCC(F)CC1)N1CCCC1C1CCCCN1,-109.65,381.889,385.237,3.348000000000013
O=S(=O)(C1CCCC(F)C1)N1CCCO1,-109.67,386.911,399.219,12.307999999999993
O=C(C1CCC(F)CC1)N1CCOC(C2CCCS2)C1,-109.69,378.969,401.681,22.71199999999999
CN(CC1CCC(F)C(C#N)C1)C1CCSC1,-109.69,382.018,400.285,18.267000000000053
CCC(C)C(=O)N1CCN(C(=O)C2CCC(F)CC2)CC1,-109.83,378.408,401.367,22.959000000000003
O=C(C1CCC(F)CC1)N1CC[C@@H](O)C1,-109.84,385.853,384.952,-0.9010000000000103
N#CC1CC(F)CC(N2CCOCC2)C1,-109.85,384.438,394.591,10.15300000000002
O=C(C1CCC(F)CC1)N1CCN(C(=O)C2CC2)CC1,-109.87,381.535,402.33,20.79499999999996
CC(=O)NC1CCCN(C2CCNC3CC(F)CCC23)C1,-109.93,380.562,376.841,-3.721000000000004
CN1CCN(S(=O)(=O)C2CCCC(F)C2)CC1,-109.95,378.288,398.165,19.87700000000001
CN(CCC#N)C1CCNC2CC(F)CCC12,-109.96,390.185,387.893,-2.29200000000003
O=S(=O)(NC1CCCC2OCCC21)C1CCCC(F)C1,-110.14,377.441,398.945,21.50400000000002
CN(CC(=O)N1CCCC1)C(=O)C1CCC(F)CC1,-110.14,398.454,401.9,3.445999999999969
O=C(NCC1CCCCC1F)NC1CNNS1,-110.15,378.074,414.149,36.07499999999999
O=S(=O)(CC1CCCCO1)C1CCCC(F)C1,-110.15,378.581,397.664,19.08299999999997
CC1(CNS(=O)(=O)C2CCCC(F)C2)CCNCC1.Cl,-110.2,383.561,384.962,1.4010000000000105
CN1CNCC1CS(=O)(=O)C1CCCCC1F,-110.21,383.261,383.271,0.0099999999999909
COC1CCC(C(=O)NC2CCCC(C)N2)C(F)C1,-110.21,390.46,377.556,-12.903999999999996
O=S(=O)(C1CCCC(F)C1)N1CCCC1,-110.22,385.992,398.164,12.171999999999969
O=S(=O)(C1CCCC(F)C1)N1CCCCC1,-110.24,369.437,399.032,29.59499999999997
NS(=O)(=O)C1CNC2CCC(F)CC2C1,-110.27,398.279,387.515,-10.76400000000001
OCC1CC(F)CCC1-N1CNCN1,-110.49,389.77,386.163,-3.606999999999971
CC1CC(C(=O)NC2CC(C(N)=O)N(C)C2)CCC1F,-110.51,375.721,416.119,40.398000000000025
FC1CCCCC1-C1NNC(CN2CCCCC2)O1,-110.55,402.507,409.659,7.151999999999987
CC(O)CNC1CCC2CCC(F)CC2N1,-110.56,380.079,388.15,8.07099999999997
CN1CCC(N(C)C(=O)C2CCC(F)CC2)CC1,-110.56,381.587,381.684,0.0970000000000368
N#CC1CNN(-C2CCCC(F)C2)C1N,-110.6,381.503,396.035,14.53200000000004
CN(C)C(=O)C1CCCN1C1CCC2CCC(F)CC2N1,-110.61,380.496,386.405,5.908999999999992
CN(CCC#N)C1CCC2CCC(F)CC2N1,-110.65,399.881,385.104,-14.776999999999989
C[C@@H]1CN(CC2C(F)CCCC2Cl)CCN1,-110.79,379.437,392.655,13.21799999999996
O=C(O)C1CN(C(=O)C2CCC(F)CC2)CCS1,-110.82,382.08,401.893,19.812999999999988
CC1CCC2C(N1)OCCN2C(=O)C1CCC(F)CC1C,-110.85,380.029,381.589,1.5600000000000025
O=C(O)C1CC(-C2CCC(F)CC2)NO1,-110.88,386.504,400.72,14.216000000000008
N#CC1CC(F)CCC1CN1CNCN1,-110.93,384.634,392.371,7.736999999999966
CC1CC(F)CC(S(=O)(=O)N2CCCC2CN)C1.Cl,-110.99,381.263,398.635,17.372000000000014
FCC1=NC2=CC=CC=C2C2=C1C=CC=C2,-111.0,419.883,419.883,0.0
FC1CCCC(Cl)C1-C1NN[NH]N1,-111.09,382.26,390.344,8.084000000000003
CCC1CCCCN1C(=O)NC1CCC(C(N)=O)C(F)C1,-111.12,380.519,391.645,11.125999999999976
