feature,importance
Morgan_32,0.07768954863987232
ECFP_F_32,0.0718195757594096
MACCS_87,0.056801068808767924
Morgan_429,0.030298043689736837
ECFP_F_429,0.029891512448461794
shielding_value,0.0272885916156615
Morgan_114,0.02404103038588258
ECFP_F_649,0.021399512717846913
Morgan_833,0.021398444979132413
MACCS_128,0.019237326463711266
Morgan_301,0.01853321373863388
Morgan_58,0.018238200759514975
ECFP_F_386,0.01703776883914128
MACCS_163,0.016175723279777975
Morgan_926,0.014960105009756256
MACCS_112,0.012216045355770125
Morgan_1019,0.011775175892987379
MACCS_147,0.010675015257434748
Morgan_142,0.010616588758362017
ECFP_F_598,0.01042351186784011
Morgan_743,0.010355240977547357
MACCS_118,0.010321811338535816
Morgan_26,0.010173332795194914
ECFP_F_572,0.010112395733514181
MACCS_129,0.009871669568790934
ECFP_F_26,0.009694587479502553
MACCS_158,0.00956563800446361
Morgan_268,0.008428117074576948
MACCS_111,0.007821204411692262
Morgan_2,0.007310410581947947
RingCount,0.007116960258158271
MACCS_106,0.007042213019322153
MACCS_161,0.006750073383427466
MACCS_150,0.006106596654348525
Morgan_773,0.005696714626800585
MACCS_156,0.004995640711176652
MACCS_117,0.004955318343849903
Morgan_849,0.0047091758460678
MACCS_162,0.003991881079520887
ECFP_F_500,0.003990547254085704
ECFP_F_49,0.003989339453091879
ECFP_F_17,0.0039432807361107144
MACCS_145,0.0037771095781926195
MACCS_90,0.0037630656655117407
ECFP_F_57,0.003712666936716861
Morgan_1,0.0036290184904753894
MACCS_133,0.003572108897631402
Morgan_128,0.003367047350420435
MACCS_100,0.003298348631130064
Morgan_482,0.0032831031524471134
Morgan_523,0.0032830404213766004
MACCS_104,0.003161800584002588
MACCS_110,0.0030387850973223316
TPSA,0.0029945006085931015
MACCS_91,0.002994483948225811
Morgan_4,0.002993598466087969
MACCS_151,0.0027558750942235036
ECFP_F_850,0.002732047835059898
MolWt,0.0026472062430015976
MACCS_137,0.00256722361950144
