mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,rf_branch,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
264.1036323547363,9.151674795150758,-7.191509901612356,-6.25838387544249,True,0.0,absolute_error,60.0,0.4,0.5,1e-05,8,5,1200,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-05, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",61,bootstrap_true,-7.91414185651478,-6.093398104241686,-7.426890417665866,-6.301368920068021,-7.209884872102315,-6.326438955582225,-6.670514623397417,-6.2559383223355205,-6.736117738381408,-6.314775074984998,40.07887617928069,2.3428112106706744,0.4597296317138251,0.0858900003595886
7.083824157714844,0.7235709667205811,-5.031198722844328,-2.849539476967496,True,1e-05,squared_error,,0.8,0.7,1e-07,2,5,200,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': 0.8, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",13,bootstrap_true,-5.590785577226199,-2.7418660208334917,-4.771698336017502,-2.875299779188896,-4.983176975454271,-2.873018485292386,-4.916241645727735,-2.847919403379566,-4.894091079795936,-2.909593696143141,2.074373015906238,0.3199967098247568,0.2880269508029204,0.0573019441860855
440.7477088928223,5.692814064025879,-6.154101611636174,-4.398309342499903,True,0.0,absolute_error,80.0,0.2,0.9,1e-05,4,5,800,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_samples': 0.9, 'max_features': 0.2, 'max_depth': 80, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",36,bootstrap_true,-6.853439718225424,-4.296832221638658,-6.181162694844118,-4.411907101590641,-6.255689133693053,-4.4889866634153694,-5.666989122596159,-4.323790476904622,-5.813227388822119,-4.470030248950223,17.523006702303547,0.2958721981072112,0.4131827505953572,0.0766835463325047
789.1244868278503,1.2725004196166991,-6.306368768826279,-5.018379944103012,True,1e-07,absolute_error,120.0,0.6,0.9,1e-06,8,10,1200,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.9, 'max_features': 0.6, 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",42,bootstrap_true,-7.157478137489997,-4.894161154461777,-6.357820443645073,-5.063746508603434,-6.230949760191857,-5.060318102240894,-5.827204947916656,-4.947810300439912,-5.958390554887815,-5.125863654769046,8.790519027966186,0.3509188168946707,0.4654909803157787,0.0845932203521995
102.63452415466308,11.994893789291382,-5.5715969891989605,-3.643012909524569,True,1e-07,squared_error,40.0,0.4,0.9,1e-07,4,2,1200,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': 0.4, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",25,bootstrap_true,-6.243773072499269,-3.539028632296349,-5.485850107613949,-3.662374293967081,-5.447563162470334,-3.6423797220336502,-5.323672130967542,-3.6644567531924985,-5.357126472443706,-3.706825146133267,11.04153873885834,1.1544443302366962,0.3411808736496753,0.0560710870536032
97.614462184906,9.292554044723513,-5.479881393485084,-3.929769930511824,True,1e-06,friedman_mse,80.0,,0.7,1e-07,2,20,800,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': None, 'max_depth': 80, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-06, 'bootstrap': True}",22,bootstrap_true,-6.211016981874259,-3.8795178323636073,-5.116539024401689,-3.90599404149848,-5.420575991070292,-3.8855816722028735,-5.371431168800772,-3.976326199075965,-5.279843801278409,-4.001429907418191,8.166673713379573,0.5942013155256277,0.3799659316480417,0.0496906568116961
752.7739813327789,2.4892270088195803,-6.15191462213401,-4.274840957480456,True,0.0,absolute_error,40.0,0.2,0.7,1e-06,1,20,1200,"{'n_estimators': 1200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 0.2, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",35,bootstrap_true,-6.880159672262177,-4.196137072328916,-6.0326578936850535,-4.288983143257285,-6.1988558952837485,-4.307318717486972,-5.773032401842912,-4.207191336732641,-5.8748672475961605,-4.374574517596468,13.46658633780323,0.6515197542035382,0.3916818831736977,0.0662908169391074
21.80317611694336,4.717061614990234,-5.894522719869092,-4.486655011103039,True,1e-05,squared_error,120.0,0.6,0.5,1e-07,4,5,200,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.5, 'max_features': 0.6, 'max_depth': 120, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",31,bootstrap_true,-6.485222597620538,-4.322497510113935,-5.86925681392648,-4.519846779738411,-5.768571892830119,-4.532071652878226,-5.765580743125063,-4.517666731814929,-5.583981551843257,-4.541192380969696,7.766776671893936,1.1851083009993155,0.3093509892714046,0.082520423556538
19.912011432647702,4.85402774810791,-12.636602584467148,-9.739038811344653,True,0.0,squared_error,80.0,log2,0.7,1e-05,1,10,400,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': True}",83,bootstrap_true,-13.291135242922149,-9.657640680512827,-12.350839883329826,-9.747405269804158,-12.860562260953854,-9.809783505571394,-12.955569743145364,-9.685910271302069,-11.724905791984543,-9.794454329532812,11.253010140183212,2.236467258720642,0.5464727529851456,0.0593194513029634
102.4227126121521,6.965146684646607,-11.829032115975474,-11.16363550217581,True,0.0,absolute_error,120.0,sqrt,0.7,1e-06,8,10,800,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",80,bootstrap_true,-12.489652083333318,-11.049662965186066,-11.62678436750598,-10.997680769807909,-11.757087320143874,-11.239866900510188,-12.214658834134598,-11.213550419916,-11.056977974759604,-11.317416455458892,15.64642998148592,1.2737476143921092,0.4954340540186675,0.120401012521372
