mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1298830032348633,0.03123831344227809,0.03264055252075195,0.00228633824028854,best,5,32,1e-05,log2,,squared_error,1e-06,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 32, 'min_impurity_decrease': 1e-05, 'max_features': 'log2', 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-24.704894204544235,-25.102732710484002,-24.609047655260767,-25.451111846591537,-23.676667095670275,-24.70889070251016,0.5969043364834793,100,-24.533757028058027,-24.30617263425467,-24.760671384817975,-24.151912447705076,-24.607573013911686,-24.47201730174949,0.21701608046217438
0.11942367553710938,0.02179404721196617,0.03419756889343262,0.0023996335591597168,random,100,16,0.0001,sqrt,10,friedman_mse,1e-06,"{'splitter': 'random', 'min_samples_split': 100, 'min_samples_leaf': 16, 'min_impurity_decrease': 0.0001, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-06}",-16.083246069280737,-15.279580092128086,-16.528969041054147,-18.05875610671117,-15.625320884440896,-16.31517443872301,0.9682901951933091,74,-15.866725226817922,-14.952059625927506,-16.079459374017336,-17.414723512518897,-16.827012225826667,-16.227995993021665,0.8423462422624166
0.14839959144592285,0.03437588533287618,0.036550474166870114,0.00523318087570667,best,10,4,1e-06,log2,30,squared_error,1e-06,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-19.507221277827416,-21.198541242117983,-22.046100631361487,-21.551989352360163,-18.989050052547956,-20.658580511243,1.1939773087365424,87,-18.417729713925645,-20.42519249839893,-21.172153284343878,-20.733345023785088,-17.93012221618243,-19.735708547327192,1.3062350741699644
0.3654665470123291,0.06608992978443673,0.03543310165405274,0.0061704723390017605,best,5,16,0.0001,0.6,80,squared_error,0.0001,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 16, 'min_impurity_decrease': 0.0001, 'max_features': 0.6, 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 0.0001}",-7.577726740753998,-8.499486264619035,-8.482764050767004,-8.395876028179687,-6.295195043449937,-7.850209625553932,0.8499122720506873,31,-6.188562924249017,-7.101784102634681,-6.931347746227743,-6.747656207543899,-5.437013075950855,-6.481272811321238,0.6057589118399076
0.6035216331481934,0.16292026615672608,0.0352170467376709,0.004970644179103981,random,100,32,0.0001,0.2,120,absolute_error,1e-07,"{'splitter': 'random', 'min_samples_split': 100, 'min_samples_leaf': 32, 'min_impurity_decrease': 0.0001, 'max_features': 0.2, 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07}",-11.551846522781775,-12.118009592326139,-12.213860911270984,-10.306322115384615,-12.566574519230768,-11.751322732198856,0.7925722474910455,69,-10.762713085234093,-11.791500600240095,-11.896200480192077,-9.223263347330533,-11.15476304739052,-10.965688112077464,0.9654855551802647
4.289978313446045,0.43435526787644546,0.033066606521606444,0.004315514395279271,best,2,8,1e-07,0.6,20,absolute_error,1e-07,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-07, 'max_features': 0.6, 'max_depth': 20, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07}",-6.980887290167865,-6.345047961630695,-5.968129496402876,-7.227355769230769,-5.864014423076923,-6.477086988101826,0.5420420631561145,11,-4.989147659063626,-4.467256902761104,-4.511860744297719,-4.446394721055788,-4.769172165566887,-4.636766438549024,0.21084596610760675
0.21109247207641602,0.020202888096624114,0.033385419845581056,0.004530240673668562,best,10,4,1e-06,0.2,10,friedman_mse,1e-05,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_features': 0.2, 'max_depth': 10, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-05}",-8.3186206315334,-8.290570452160832,-8.386423996582725,-9.262027099714764,-7.899137983788179,-8.43135603275598,0.4489586197850623,39,-6.61171701824484,-6.29406755192007,-6.983426380991674,-7.193523983170274,-7.026872567351235,-6.821921500335618,0.3252669324552942
6.516290712356567,0.6701135983251396,0.018856191635131837,0.0009069437684820869,best,100,2,1e-06,0.6,50,absolute_error,0.0,"{'splitter': 'best', 'min_samples_split': 100, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_features': 0.6, 'max_depth': 50, 'criterion': 'absolute_error', 'ccp_alpha': 0.0}",-7.207769784172662,-7.3011870503597125,-7.442853717026379,-7.591021634615384,-7.161706730769231,-7.340907783388673,0.15771264545890892,24,-5.820756302521008,-5.572004801920768,-5.981842737094838,-5.764157168566286,-5.823029394121176,-5.7923580808448145,0.1319109414662608
0.2096318244934082,0.014091992152002611,0.03113870620727539,0.0036867112329887638,random,50,4,1e-06,0.2,80,squared_error,1e-06,"{'splitter': 'random', 'min_samples_split': 50, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_features': 0.2, 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-9.568837685314918,-9.86758883861615,-9.763733751692182,-8.406816166301168,-8.623683754554094,-9.246132039295702,0.608301244764206,47,-8.059127600068646,-8.27186372303593,-7.833680648778629,-7.7128455126462425,-7.432098616677696,-7.8619232202414295,0.28799714541218363
0.298160982131958,0.06004522974554377,0.0336273193359375,0.0026602834773865364,best,20,2,0.0,0.6,10,friedman_mse,1e-07,"{'splitter': 'best', 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_features': 0.6, 'max_depth': 10, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-07}",-6.720990323135679,-6.891097174923709,-7.6848246878219575,-7.365636096157271,-7.306487312365874,-7.193807118880898,0.3459795684585393,20,-5.3435724197629515,-5.098047971294872,-5.5859442783029305,-5.590943653215942,-5.813779339196236,-5.486457532354587,0.24463551247889181
