mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_samples,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
264.1036323547363,40.078876179280684,9.151674795150758,2.3428112106706744,1200,5,8,1e-05,0.5,0.4,60,absolute_error,0.0,True,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-05, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-7.91414185651478,-7.426890417665866,-7.209884872102315,-6.670514623397417,-6.736117738381408,-7.191509901612356,0.45972963171382514,33,-6.093398104241686,-6.301368920068021,-6.326438955582225,-6.2559383223355205,-6.314775074984998,-6.25838387544249,0.08589000035958862
7.083824157714844,2.074373015906238,0.7235709667205811,0.3199967098247568,200,5,2,1e-07,0.7,0.8,,squared_error,1e-05,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': 0.8, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-5.590785577226199,-4.771698336017502,-4.983176975454271,-4.916241645727735,-4.894091079795936,-5.031198722844328,0.2880269508029204,1,-2.7418660208334913,-2.875299779188896,-2.873018485292386,-2.847919403379566,-2.9095936961431415,-2.8495394769674958,0.057301944186085564
440.7477088928223,17.523006702303547,5.692814064025879,0.2958721981072112,800,5,4,1e-05,0.9,0.2,80,absolute_error,0.0,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_samples': 0.9, 'max_features': 0.2, 'max_depth': 80, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-6.853439718225424,-6.181162694844118,-6.255689133693053,-5.666989122596159,-5.813227388822119,-6.154101611636174,0.41318275059535725,18,-4.296832221638658,-4.411907101590641,-4.4889866634153694,-4.323790476904622,-4.470030248950223,-4.3983093424999025,0.07668354633250474
789.1244868278503,8.790519027966186,1.2725004196166991,0.35091881689467075,1200,10,8,1e-06,0.9,0.6,120,absolute_error,1e-07,True,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.9, 'max_features': 0.6, 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-7.157478137489997,-6.357820443645073,-6.230949760191857,-5.827204947916656,-5.958390554887815,-6.306368768826279,0.46549098031577874,20,-4.894161154461777,-5.063746508603434,-5.060318102240894,-4.947810300439912,-5.125863654769046,-5.018379944103012,0.08459322035219954
102.63452415466308,11.041538738858339,11.994893789291382,1.1544443302366962,1200,2,4,1e-07,0.9,0.4,40,squared_error,1e-07,True,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': 0.4, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-6.243773072499269,-5.485850107613949,-5.447563162470334,-5.323672130967542,-5.357126472443706,-5.5715969891989605,0.34118087364967536,9,-3.539028632296349,-3.662374293967081,-3.6423797220336507,-3.6644567531924985,-3.706825146133267,-3.643012909524569,0.05607108705360324
97.614462184906,8.166673713379573,9.292554044723511,0.5942013155256277,800,20,2,1e-07,0.7,,80,friedman_mse,1e-06,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': None, 'max_depth': 80, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-06, 'bootstrap': True}",-6.211016981874259,-5.116539024401689,-5.420575991070292,-5.371431168800772,-5.279843801278409,-5.479881393485084,0.37996593164804177,7,-3.8795178323636073,-3.90599404149848,-3.8855816722028744,-3.9763261990759653,-4.001429907418191,-3.9297699305118234,0.04969065681169618
752.7739813327789,13.46658633780323,2.4892270088195803,0.6515197542035382,1200,20,1,1e-06,0.7,0.2,40,absolute_error,0.0,True,"{'n_estimators': 1200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 0.2, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-6.880159672262177,-6.0326578936850535,-6.1988558952837485,-5.773032401842912,-5.8748672475961605,-6.15191462213401,0.3916818831736977,17,-4.196137072328916,-4.288983143257285,-4.307318717486972,-4.207191336732641,-4.374574517596468,-4.274840957480456,0.06629081693910746
21.80317611694336,7.766776671893936,4.717061614990234,1.1851083009993157,200,5,4,1e-07,0.5,0.6,120,squared_error,1e-05,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.5, 'max_features': 0.6, 'max_depth': 120, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-6.485222597620538,-5.86925681392648,-5.768571892830119,-5.765580743125063,-5.583981551843257,-5.894522719869092,0.3093509892714046,13,-4.322497510113935,-4.519846779738411,-4.532071652878226,-4.517666731814929,-4.541192380969696,-4.486655011103039,0.082520423556538
19.912011432647706,11.253010140183212,4.85402774810791,2.236467258720642,400,10,1,1e-05,0.7,log2,80,squared_error,0.0,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-13.291135242922149,-12.350839883329826,-12.860562260953854,-12.955569743145364,-11.724905791984545,-12.636602584467148,0.5464727529851456,43,-9.657640680512829,-9.747405269804158,-9.809783505571394,-9.685910271302067,-9.794454329532812,-9.739038811344653,0.059319451302963476
102.4227126121521,15.646429981485921,6.965146684646607,1.2737476143921092,800,10,8,1e-06,0.7,sqrt,120,absolute_error,0.0,True,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-12.489652083333318,-11.62678436750598,-11.757087320143874,-12.214658834134598,-11.056977974759604,-11.829032115975474,0.4954340540186675,42,-11.049662965186066,-10.997680769807909,-11.239866900510187,-11.213550419916,-11.317416455458892,-11.16363550217581,0.12040101252137209
