mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,SeedIndex,CoarseSeedParams
86.92694272994996,2.2271430738844677,1.7417476654052735,0.2908470236106356,800,2,4,1e-05,0.2,60,squared_error,1e-07,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_features': 0.2, 'max_depth': 60, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-5.84285695898177,-5.30730749343939,-5.272450214680505,-5.294271778944296,-5.256947055238361,-5.394766700256864,0.22471706620890725,24,-2.5493446778543634,-2.6644763674059857,-2.6815738615339537,-2.6957486385459024,-2.7076428635781893,-2.659757281783679,0.05705713405516801,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
68.05711460113525,1.4911829761371822,1.1822875499725343,0.20387112810083505,400,10,4,1e-06,0.4,120,squared_error,1e-06,False,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 120, 'criterion': 'squared_error', 'ccp_alpha': 1e-06, 'bootstrap': False}",-5.437088902834443,-4.700135756561418,-4.623822094942583,-4.765897280628026,-4.847308101414645,-4.874850427276223,0.2906138025192991,15,-2.213225277213702,-2.311558647363707,-2.3620406918008623,-2.408120503383594,-2.3490514464250034,-2.328799313237374,0.06551578087183553,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
1954.7504951477051,71.78547499689937,0.2575892448425293,0.060696594361039476,400,10,1,1e-05,0.8,40,absolute_error,1e-06,False,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_features': 0.8, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-06, 'bootstrap': False}",-5.499578597122288,-4.426136300959224,-4.513488699040756,-4.343263100961568,-4.608352524038471,-4.678163844424462,0.4200928731954239,8,-1.1288286164465762,-1.1716239795918373,-1.1806930822328985,-1.1079507348530382,-1.1184069736052875,-1.1415006773459275,0.029199167317566433,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
20.777335596084594,1.4625447059490015,1.1284467697143554,0.4722211504408475,800,10,4,1e-05,sqrt,20,squared_error,1e-06,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'squared_error', 'ccp_alpha': 1e-06, 'bootstrap': False}",-9.960303513675465,-9.487134214828655,-9.867712312937195,-9.787097555003033,-8.681694825927346,-9.556788484474337,0.465441919550444,35,-7.482122323652325,-7.6032553663516556,-7.700023899372988,-7.621269811914791,-7.581654480461141,-7.59766517635058,0.07024561255432289,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
124.433846616745,6.656109044604851,1.3399803161621093,0.4512433440931892,800,2,2,1e-06,log2,40,absolute_error,1e-07,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-13.889249055755377,-12.986196567745795,-12.942986420863292,-13.73214077524036,-12.525290264423067,-13.215172616805578,0.5146043409875358,37,-11.18189223439374,-11.348123994597833,-11.153901343037198,-11.485357183563266,-11.468106358728235,-11.327476222864053,0.1388902444003082,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
421.72845220565796,12.171060156360587,0.9115993976593018,0.29061122882091617,1200,5,4,0.0,,60,squared_error,1e-07,False,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_features': None, 'max_depth': 60, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-6.445485034401048,-5.469759890991871,-5.813459949706918,-5.904648440314001,-5.619211278951133,-5.850512918872995,0.3336970818969878,31,-2.6181208259494646,-2.6224219402046565,-2.7563235502772927,-2.81805348216071,-2.916150269946038,-2.7462140137076325,0.11478134461123418,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
2923.9164210796357,63.738642607475256,0.4822219371795654,0.07478763502868421,1600,10,4,1e-07,0.8,40,absolute_error,1e-06,False,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_features': 0.8, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-06, 'bootstrap': False}",-5.845098823441285,-4.748307576438837,-4.401744634292557,-4.60813346604555,-4.488878215144192,-4.818432543072484,0.5263880189308486,13,-2.440817016806755,-2.471932810624216,-2.4345887905161896,-2.3863470680863683,-2.3723049940011385,-2.4211981360069332,0.03672425245242736,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
157.58847584724427,1.537688988675699,1.6042283535003663,0.24005971162628298,800,2,2,0.0,0.4,20,squared_error,1e-07,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-5.2049914598248845,-4.422255493678486,-4.5432983886744776,-4.574595596205428,-4.58940056833241,-4.666908301343137,0.2753895337358148,7,-1.6357758960293547,-1.6033159421889658,-1.7825141292167745,-1.7625174049787249,-1.5866135297056412,-1.6741473804238922,0.08210268200539479,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
437.3385111808777,11.403579298091948,1.3068055152893066,0.29603251683773,1600,10,1,1e-07,0.6,40,squared_error,1e-06,False,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-07, 'max_features': 0.6, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 1e-06, 'bootstrap': False}",-4.999261681188378,-4.187862208161196,-4.2968286333166406,-4.247030899140516,-4.4126257910959525,-4.428721842580536,0.2946847710292235,3,-1.0652554599178599,-1.1427168208556637,-1.1564924595713113,-1.1115945991021694,-1.073080945019625,-1.1098280568933259,0.036330220411758526,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
64.86214952468872,1.8923036522222962,1.037738275527954,0.2710982990634364,400,2,1,1e-05,log2,20,absolute_error,0.0,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}",-14.13954910071942,-13.385694724220638,-13.693683303357323,-14.087609344951932,-12.817866856971158,-13.624880666044096,0.4883065499533223,38,-10.513199264705882,-10.956915261104456,-10.876693517406968,-10.810185677864437,-10.874166871625679,-10.806232118541484,0.15373303673426966,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
2499.9224951267242,26.491680555555025,0.5946022510528565,0.0934800036503033,1200,5,1,0.0,0.4,60,absolute_error,0.0,False,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}",-5.099327547961606,-4.123952947641847,-4.382613189448505,-4.054210847355735,-4.491383333333329,-4.430297573148204,0.3711858382640602,4,-0.35131997799119563,-0.35276971288514825,-0.3664706532613406,-0.33474017196560635,-0.3624054439112122,-0.3535411920029006,0.010997756648382153,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
1543.7513825416565,95.22803239283354,0.32695651054382324,0.05986852575411895,400,2,4,0.0,,80,absolute_error,1e-07,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_features': None, 'max_depth': 80, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-7.177490827338145,-5.768954316546771,-5.6497866606714915,-5.149381430288481,-4.997993659855781,-5.748721378940134,0.7712820585453818,27,-2.8739986944778244,-2.8606964285714565,-2.81610826830736,-2.711442816436755,-2.7415033743251698,-2.800749916423713,0.06431291882102215,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
96.60941171646118,5.592199914624046,1.6150563716888429,0.16907258802211136,800,5,1,0.0,0.2,20,squared_error,1e-07,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_features': 0.2, 'max_depth': 20, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-5.573205133450465,-4.884015531393371,-5.109399072090868,-4.957782928939519,-4.947279195076255,-5.094336372190095,0.25061910849616487,18,-1.8607279823860745,-1.8638110709300206,-1.9741003343770827,-1.9557339707618753,-1.8828939458013252,-1.9074534608512757,0.047883006804756954,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
181.84861507415772,12.095907254061691,1.5322755336761475,0.5486958543740923,800,10,1,1e-06,0.4,60,squared_error,1e-07,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-5.033949801571545,-4.2307359141004275,-4.234509551082843,-4.271541737241979,-4.470162149616096,-4.448179830722578,0.3058586413486138,5,-1.0239759295037645,-1.1169717526132654,-1.0967525651114525,-1.0984865530160361,-1.0603125506543947,-1.0792998701797827,0.03320588140496145,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
160.0906708240509,8.27691029705428,1.4339473724365235,0.10122109522081596,400,5,4,1e-07,,120,squared_error,1e-07,False,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_features': None, 'max_depth': 120, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-6.4434086784857865,-5.469910223820961,-5.814563756994433,-5.901738507326024,-5.619195424536475,-5.8497633182327355,0.3328078034182363,30,-2.6180944420625343,-2.6224219402046485,-2.756310705139205,-2.8181505341788946,-2.9157844431113804,-2.7461524129393324,0.1146909061878635,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
406.1598860263824,11.363021157869122,0.8288461208343506,0.25975718095689915,1200,10,2,1e-05,,40,squared_error,0.0,False,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': False}",-6.391485401251663,-5.084751442774308,-5.807067224125416,-5.737187813763831,-6.044476543024403,-5.812993684987925,0.42996636978843294,29,-2.046505760980762,-2.21006058613924,-2.265399650410805,-2.3867923320097764,-2.3710068716574235,-2.2559530402396013,0.12362833248964594,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
74.34028558731079,1.584411286847036,1.1381539821624755,0.12516941469413537,400,10,4,1e-07,0.4,40,squared_error,1e-07,False,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_features': 0.4, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-5.438131651810637,-4.699977428374894,-4.622117200225523,-4.763780290750367,-4.85052014881269,-4.874905343994823,0.29143400979019224,16,-2.2141342470182748,-2.3119139174357737,-2.3647141699036456,-2.4098522348079228,-2.347914817104676,-2.329705877254059,0.06580872316556002,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
94.15352487564087,2.184493084135027,1.5352742195129394,0.3736912141941059,800,2,4,1e-05,log2,20,absolute_error,0.0,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}",-16.77175143884891,-15.429988459232614,-15.873230005995193,-16.35460075120191,-14.934010486778828,-15.872716228411495,0.6507923806952326,40,-14.83380600240095,-15.01037554771908,-14.917119995498178,-14.86248080383922,-15.048205203959188,-14.934397510683322,0.08284205448125569,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
164.98046679496764,3.0449245651129697,0.8052369594573975,0.19858653121849562,400,2,2,0.0,,20,squared_error,1e-07,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_features': None, 'max_depth': 20, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-6.46625793505013,-4.831315078938969,-5.887921685204314,-5.3124333168449045,-5.704254365812617,-5.640436476370186,0.5494663304808479,26,-2.0345623736870073,-1.916544392077672,-2.1143960934650994,-2.2887736495949507,-2.011191893803065,-2.073093680525559,0.12493831349275174,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
141.1466329574585,2.757043257211392,1.5368375301361084,0.6434246191416937,800,10,4,0.0,0.4,20,squared_error,1e-07,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-5.50269759819188,-4.771451109743964,-4.729737390174464,-4.894497282416375,-4.903217298889391,-4.960320135883214,0.27950191602385255,17,-2.547959225195075,-2.5833254234221195,-2.741451203596742,-2.805549198939832,-2.606906643322158,-2.6570383388951853,0.09902125138826667,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
173.75207805633545,8.266124936736919,0.9161009311676025,0.211324056396881,400,10,2,1e-07,,40,squared_error,1e-07,False,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_features': None, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-6.390402729725434,-5.080403690499968,-5.806563147766342,-5.740094867860074,-6.047066395017658,-5.812906166173894,0.43133163334007735,28,-2.0465057609807196,-2.2100605861392166,-2.2653853659470475,-2.3867949314898906,-2.370878867988304,-2.255925102509036,0.12360484730595994,1,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}"
