mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1262.7581163406371,106.31524873675906,0.5069448947906494,0.05770501790847372,1200,5,8,1e-05,0.6,120,absolute_error,1e-07,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-05, 'max_features': 0.6, 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07}",-7.051991576738582,-7.7201282174260575,-6.844143025579515,-7.731149959935949,-7.219763501602532,-7.313435256256527,0.3570005969990734,31,-5.314196753701469,-5.2023630802320735,-5.351608333333341,-5.2549774145171275,-5.2000822685462795,-5.264645570066058,0.06026415795400162
23.373949337005616,1.4901440040033593,0.29461064338684084,0.01043866985818333,800,20,16,1e-06,0.8,120,friedman_mse,1e-07,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-06, 'max_features': 0.8, 'max_depth': 120, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-07}",-8.500071065532103,-7.930559282411645,-8.508303919135512,-8.35436440531604,-8.62167491920519,-8.382994718320099,0.24161747605189246,54,-7.334203436847272,-7.060186011505529,-7.484728287811975,-7.210997287979724,-6.813852020860376,-7.180793409000975,0.2306579494265028
21.319777059555054,0.26198622296077906,0.3637227535247803,0.045280791562866865,800,5,4,1e-05,0.4,20,friedman_mse,1e-07,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-07}",-6.544020573984301,-7.063779422837551,-6.63289384852102,-7.1241849381010285,-7.427779160650105,-6.958531588818801,0.3275883824829584,25,-4.188980384057489,-4.471595898292328,-4.502703695965735,-4.353942275365359,-4.357470096351023,-4.374938470006387,0.1104472773812377
74.0824577331543,3.4639043808133434,0.4591545581817627,0.020985890489454196,1200,2,4,1e-07,sqrt,60,absolute_error,1e-05,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_features': 'sqrt', 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 1e-05}",-8.960869374500366,-8.871963509192609,-9.190212230215803,-9.431362750400611,-9.006659795673043,-9.092213531996487,0.19885006374109354,75,-7.2982438025209655,-7.2337292817126535,-7.428332868147234,-7.131410647870403,-7.171228094381096,-7.25258893892647,0.1045272664393487
122.89887399673462,2.3715945164731784,0.7811817646026611,0.09553759907067821,1600,2,1,1e-05,log2,120,absolute_error,1e-07,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_features': 'log2', 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07}",-10.325257284172588,-10.357377375599508,-10.565060154376411,-10.762437289663383,-10.03863642578121,-10.409753705918622,0.24335848621233286,83,-4.002686333283212,-4.053889041866667,-4.1178769057622455,-3.935377811937569,-3.974215248200299,-4.016809068209999,0.06361504048069712
1067.234867620468,66.02265694962969,0.6826033592224121,0.21849725196094288,1200,20,1,1e-06,0.2,40,absolute_error,1e-07,"{'n_estimators': 1200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.2, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07}",-5.90940551558748,-6.509726418864916,-6.203529716226988,-6.658811388221131,-6.436466917067309,-6.343587991193564,0.26219267898406684,10,-2.802521923769465,-2.9144689525810197,-2.9900750350139944,-2.8470333733253352,-3.1234677864427307,-2.935513414226509,0.11336854946232598
51.175619506835936,4.890455903152642,0.3562811851501465,0.03032562420099795,800,20,1,1e-05,,40,friedman_mse,1e-06,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 40, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-06}",-6.28059354744094,-7.336549300921715,-6.813445718974343,-7.340271779653762,-7.485402719066595,-7.051252613211472,0.4480803739519206,26,-3.5144881712351914,-3.7936171991870147,-3.877018987282239,-3.683491236988376,-3.5646194585931235,-3.6866470106571887,0.135811235970785
6.27339391708374,0.4057181271401765,0.18190131187438965,0.004486700565230737,400,10,1,1e-05,0.4,10,friedman_mse,0.0,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_features': 0.4, 'max_depth': 10, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0}",-8.370843052628734,-8.86445270783134,-8.305481223122584,-9.021304453053432,-8.970018898441753,-8.706420067015568,0.30560586551632923,67,-7.084956259401251,-7.312338867301874,-7.360314887990051,-7.019695749376036,-7.3641805778556515,-7.228297268384972,0.14629911456786873
3.0017701625823974,0.2689389004650958,0.27985391616821287,0.02020079783098108,800,10,8,1e-06,log2,60,friedman_mse,1e-07,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_features': 'log2', 'max_depth': 60, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-07}",-18.31987529018471,-18.56256596655871,-18.46274880012383,-18.666777324535335,-17.548413426629583,-18.312076161606434,0.39862310534258877,98,-17.92213793521449,-17.739949005182567,-17.942727987428725,-17.44307366911263,-17.795570450738293,-17.76869180953534,0.17967197234349216
31.7515691280365,2.451739514380848,0.37831645011901854,0.04543946265140615,1200,50,16,1e-05,0.8,40,squared_error,1e-07,"{'n_estimators': 1200, 'min_samples_split': 50, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-05, 'max_features': 0.8, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 1e-07}",-8.751596174840072,-8.047047961985092,-8.662184568324193,-8.710490320132301,-8.871034292229425,-8.608470663502217,0.2891066290540752,64,-7.6844054126453045,-7.397231448101112,-7.816505963653205,-7.7370679202628345,-7.131619984787082,-7.553366145889908,0.25393229935974043
