mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
458.06865134239195,28.721982205476674,21.922620344161988,5.069335819487276,1600,10,2,1e-07,0.4,,squared_error,1e-07,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_features': 0.4, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-07}",-6.527805839132218,-6.047399739672488,-6.0151398505124485,-6.011328113487518,-6.45652930156704,-6.211640568874342,0.23049669481093335,51,-2.300940881948031,-2.531686614485067,-2.4937692648577006,-2.428451149058893,-2.4328395846247224,-2.437537498994883,0.07847207832454516
421.0013966560364,11.187708011765752,16.346587657928467,2.02734073614892,800,2,2,0.0,0.8,,squared_error,1e-06,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_features': 0.8, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-6.533694432454045,-5.972968790824461,-6.350679066246989,-6.160070730168245,-6.828698992888627,-6.369222402516473,0.2964034371854796,60,-1.4049100135053985,-1.7059552952609585,-1.638685405412158,-1.3627372542991476,-1.528255024245145,-1.5281085985445615,0.1314399269960545
109.63018956184388,11.909769312935678,16.325454998016358,2.8993051718872738,400,5,2,1e-06,0.4,,squared_error,1e-07,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-07}",-6.288906382893689,-5.87837154876099,-5.971831946585588,-5.984843803084937,-6.4097479574461955,-6.10674032775428,0.20504118052307166,29,-1.527298588506827,-1.7354167628479886,-1.6275449483364772,-1.538602369169017,-1.5948825327077485,-1.6047490403136115,0.07491997022934625
349.44407472610476,9.755505692870942,18.43909525871277,4.191952611261368,1200,10,2,1e-06,0.4,,squared_error,1e-05,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-05}",-6.533035319117692,-6.060399391800394,-6.011106530616772,-6.00263265111476,-6.468188447325218,-6.2150724679949665,0.23487214121413313,52,-2.301640710169007,-2.5350491285128722,-2.4906533800940855,-2.430366026290782,-2.4348456046171583,-2.438510969936781,0.0785514990526544
1002.2582293987274,25.80964662185143,29.271229457855224,5.303685593617307,1600,2,1,1e-06,0.8,,squared_error,1e-06,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.8, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-6.062245556804484,-5.779122986896255,-6.374214437628484,-5.778620152601286,-6.799503703425482,-6.158741367471199,0.38856626448556847,38,-0.019842622299616385,-0.012193880713596275,-0.019963745606152057,-0.007838627685854705,-0.010677824310878417,-0.014103340123219569,0.004937823975501021
285.0546381473541,26.85089103561506,24.7798020362854,3.30748979076346,1600,5,4,1e-07,0.2,,squared_error,1e-06,"{'n_estimators': 1600, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_features': 0.2, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-7.133014501988611,-6.798201889993352,-6.885264514114271,-6.783823734438479,-6.956041195219298,-6.9112691671508015,0.12718358186674844,93,-3.855222637959022,-3.866078512499961,-3.920173208529781,-3.842007180003575,-3.775998413899527,-3.851895990578373,0.046329730675541664
300.65692629814146,5.330451722610425,25.378301525115965,1.7814781111612366,1600,10,2,0.0,0.2,,squared_error,0.0,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_features': 0.2, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0.0}",-6.671428737558634,-6.224050230244379,-6.322027375635212,-6.282664725650333,-6.458275533764735,-6.391689320570658,0.15970590388551842,69,-2.5919951776959493,-2.773621280020932,-2.717516931998985,-2.7308586454822166,-2.659511857321888,-2.6947007785039943,0.06299700687446785
242.31154756546022,11.365394555481869,11.040175008773804,1.5405957104753143,400,5,2,1e-06,0.8,,squared_error,1e-07,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_features': 0.8, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-07}",-6.598791552757782,-5.982898032573934,-6.363016348920841,-6.151566426282055,-6.871609013421472,-6.393576274791217,0.31584423502370407,70,-1.5960083198279345,-1.9193039905962428,-1.7939137870148014,-1.5895290131973565,-1.7203953129374157,-1.7238300847147503,0.12450602576205837
58.69848194122314,10.776384274645507,17.921284198760986,1.1751707717408906,400,5,4,1e-06,0.2,,squared_error,1e-06,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_features': 0.2, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-7.196417938924739,-6.799282325723051,-6.966439724231138,-6.826803538557751,-6.992703792630463,-6.956329464013429,0.14178050214299248,98,-3.859999193071065,-3.8717976981048623,-3.925176951760591,-3.856524506673967,-3.800247576695241,-3.862749185261145,0.03982929014852484
263.9301710128784,21.313247153464186,12.40385913848877,2.588078989565464,400,10,1,0.0,0.8,,squared_error,1e-07,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_features': 0.8, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-07}",-6.285767440381034,-6.132493216569602,-6.437281119604339,-5.950528078711636,-6.860092538466312,-6.333232478746584,0.30900468645143037,58,-1.4580404328397991,-1.783074151851213,-1.7734946514558294,-1.738641230230147,-1.746237487883378,-1.6998975908520735,0.12204770228075648
