mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_samples,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
95.00937342643738,2.979220614075629,0.4600232124328613,0.08543851420081008,1200,5,8,1e-05,0.5,0.4,60,absolute_error,0.0,True,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-05, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-9.197195413669053,-9.112036940447627,-8.661643105515571,-9.543720212339737,-9.24038457532051,-9.1509960494585,0.2847248053263163,27,-8.15646741696677,-8.088832402961174,-8.289842927170854,-8.116978424315143,-8.017147065586878,-8.133853647400162,0.09030631187346316
7.440407752990723,0.6340486413488801,0.21628994941711427,0.039452764484018146,200,5,2,1e-07,0.7,0.8,,squared_error,1e-05,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': 0.8, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-6.649726974675002,-7.248072719056854,-6.720395113614736,-7.114383005348683,-7.021276020607328,-6.95077076666052,0.22970795048958112,1,-4.176678353567282,-4.03459532881284,-4.074941752053967,-3.9716279503542316,-3.9775055091102973,-4.047069778779724,0.07518177777288929
137.77180528640747,5.237624098040052,0.5034675121307373,0.05271714608737744,800,5,4,1e-05,0.9,0.2,80,absolute_error,0.0,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_samples': 0.9, 'max_features': 0.2, 'max_depth': 80, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-7.531612095323742,-7.829259682254203,-7.4006026978417205,-8.12908879206731,-7.855852103365385,-7.749283074170473,0.2572797151118259,13,-5.793825634003598,-5.554517215636256,-5.759359592587046,-5.6316756973605395,-5.630661592681472,-5.6740079464537825,0.0889833042737752
374.6753803253174,17.868369651412443,0.5085395336151123,0.0633420563265238,1200,10,8,1e-06,0.9,0.6,120,absolute_error,1e-07,True,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.9, 'max_features': 0.6, 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-8.154362529976014,-8.482531155075941,-7.747342875699423,-8.627645282451917,-8.36369096554486,-8.275114561749632,0.3060291938064069,20,-6.9514600765306005,-6.719776408063212,-6.959659286214479,-6.778532128574285,-6.75972521745651,-6.833830623367817,0.10121999741712451
27.41817412376404,0.4179762502737967,0.4732676029205322,0.030670508097450755,1200,2,4,1e-07,0.9,0.4,40,squared_error,1e-07,True,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': 0.4, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-7.36912481448141,-7.74518665794251,-7.209658709985615,-7.876733575017427,-7.981061170121966,-7.636352985509786,0.2972979074134654,12,-5.248642383845846,-5.090355337155319,-5.209132614151173,-5.110828398315313,-5.152230086117876,-5.162237763917105,0.059287511479537126
31.27354316711426,0.873618051826355,0.34466304779052737,0.038784969247711555,800,20,2,1e-07,0.7,,80,friedman_mse,1e-06,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': None, 'max_depth': 80, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-06, 'bootstrap': True}",-7.1300910336877665,-7.564908397528988,-7.076706161500584,-7.571928826942632,-7.569637758579592,-7.382654435647913,0.22864675083600872,6,-5.456722627395869,-5.276641157485873,-5.376121284391815,-5.246574107647464,-5.3272331067855,-5.336658456741304,0.07453700185077011
335.66791372299195,12.828413202423258,0.5092026710510253,0.1033269514038538,1200,20,1,1e-06,0.7,0.2,40,absolute_error,0.0,True,"{'n_estimators': 1200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 0.2, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-7.269757014388468,-7.668569074740189,-7.344138729016757,-7.756268229166651,-7.886661638621779,-7.585078937186769,0.23862464309971285,9,-5.35212409963983,-5.075354386754672,-5.30804602340934,-5.126436352729436,-5.2790713332333485,-5.228206439153325,0.10773865012854068
4.16198501586914,0.13559974077300913,0.15674300193786622,0.01981195190915841,200,5,4,1e-07,0.5,0.6,120,squared_error,1e-05,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.5, 'max_features': 0.6, 'max_depth': 120, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-7.939756371601354,-8.348862453425205,-7.659308795432522,-8.339082463929635,-8.490691726984618,-8.155540362274667,0.30860851246690957,18,-6.390761921847995,-6.225777340788964,-6.347565379213794,-6.150201241133975,-6.1985595573704115,-6.2625730880710275,0.09136209035879626
2.399192142486572,0.12994989635011628,0.23906431198120118,0.022414443166630636,400,10,1,1e-05,0.7,log2,80,squared_error,0.0,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-13.113853622288882,-13.463437273925882,-13.615955547620175,-13.705662831692042,-12.764181757314823,-13.33261820656836,0.3485782293050482,43,-10.289413456040664,-10.270443341433628,-10.37829763503156,-10.297158353719562,-10.403817447994484,-10.32782604684398,0.052973358732482045
17.314212703704833,0.3419753315827489,0.31118454933166506,0.026019650290311395,800,10,8,1e-06,0.7,sqrt,120,absolute_error,0.0,True,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-12.880387095323739,-12.584523696043144,-12.54521585731414,-12.662373377403823,-12.2382462590144,-12.58214925701985,0.20737439750325626,42,-11.960957442977183,-12.108816817977164,-12.115501725690267,-11.69705579259146,-11.82624793416314,-11.941715942679842,0.1622873293066672
