mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
28.60928726196289,13.492813074641886,3.4373568534851073,1.7699022836715907,800,20,2,1e-06,0.8,10,friedman_mse,1e-05,False,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_features': 0.8, 'max_depth': 10, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-05, 'bootstrap': False}",-6.635777455420944,-5.886507123540881,-6.387579725320872,-6.440095698707109,-5.544767062352133,-6.178945413068387,0.402026266942155,19,-4.743054400132163,-4.791868211598409,-4.956758362149135,-4.9211608164090554,-4.824864705675813,-4.8475412991929145,0.07984914878331244
26.979899406433105,7.599139825966226,4.5623087882995605,1.5066441296184023,1200,50,8,1e-06,sqrt,10,squared_error,1e-06,False,"{'n_estimators': 1200, 'min_samples_split': 50, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'squared_error', 'ccp_alpha': 1e-06, 'bootstrap': False}",-12.616306575904977,-12.013950800540842,-12.38811663586959,-12.424652128248104,-11.19110298109439,-12.12682582433158,0.5069285574933171,40,-11.136668482396788,-11.34854163722479,-11.58933253311685,-11.43635721738363,-11.552095168183051,-11.412599007661022,0.16217236005525618
3533.734176635742,98.65213495161198,1.4479909896850587,0.18820232741662327,1200,10,4,0.0,0.8,,absolute_error,1e-05,False,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_features': 0.8, 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 1e-05, 'bootstrap': False}",-5.843957863709094,-4.742022871702607,-4.406341946442866,-4.608734865785193,-4.495118038862151,-4.819235117300383,0.524568669449812,7,-2.4393407813125427,-2.469876030412151,-2.4360092436974496,-2.3870330233953387,-2.364890786842612,-2.4194299731320186,0.03805312702878801
3385.482758235931,78.85003049148723,2.416516876220703,0.9073446228497606,1200,2,1,1e-06,0.4,60,absolute_error,0.0,False,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}",-5.08731698641083,-4.1234142386090795,-4.345881584732278,-4.001762720352518,-4.520044971955123,-4.415684100411966,0.3804226326727208,1,-0.03367026310594113,-0.012628071229144205,-0.02607808123313188,-0.016554099180788415,-0.04819997000660571,-0.027426096951122268,0.01272432677870813
17.18176922798157,1.2407180295194156,2.81265606880188,1.563535783645705,400,2,2,1e-07,0.2,20,friedman_mse,0.0,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_features': 0.2, 'max_depth': 20, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': False}",-5.584684053839241,-4.9165295503418776,-5.027170734758372,-5.155289987548555,-4.988722427027988,-5.134479350703207,0.23806708830265316,14,-1.980490690065763,-1.9803906480305262,-2.095063355746276,-2.140935235401506,-1.9367852256724345,-2.0267330309833014,0.07757287542396264
19.09576020240784,2.3481211844443073,1.4608214855194093,0.7515978038264732,800,5,4,1e-06,0.2,10,squared_error,0.0,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_features': 0.2, 'max_depth': 10, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': False}",-7.383406806950446,-7.0234138612894,-7.123537345515826,-6.995516058118539,-6.509544846353121,-7.007083783645467,0.28394574403340284,27,-5.478221625328393,-5.656333652713315,-5.654735000230836,-5.731067922067048,-5.609969370136021,-5.626065514095123,0.0835230586444484
74.79634385108947,7.366912005778362,6.758244514465332,2.4144477193353655,800,5,1,0.0,log2,10,absolute_error,0.0,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}",-18.427671043165457,-17.301953761990404,-18.058678747002357,-18.20242728365383,-16.698109209735566,-17.737768009109523,0.6427569706541112,44,-16.500167969687865,-16.907152085834344,-16.70579349489792,-16.609271213257337,-16.898165221955598,-16.72410999712661,0.15967034772718575
131.8743628978729,24.313857104391843,14.19793062210083,1.630308991437925,1600,20,1,1e-05,sqrt,,squared_error,1e-06,False,"{'n_estimators': 1600, 'min_samples_split': 20, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-06, 'bootstrap': False}",-8.659413340345251,-8.021247383858363,-8.40671582632562,-8.332364010420523,-7.664250330144879,-8.216798178218927,0.34318554572279,33,-4.693132417440838,-4.788088854545514,-4.807328190663914,-4.8125851244787405,-4.797569283988235,-4.779740774223448,0.04410979609935349
2877.055213356018,127.37210391199989,2.660396862030029,0.6364726875718972,800,2,4,1e-06,0.8,40,absolute_error,0.0,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_features': 0.8, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': False}",-5.8145622302158495,-4.717855215827303,-4.425290737410084,-4.6121467397836575,-4.488913371394222,-4.811753658926223,0.5114419441927821,5,-2.295447223889559,-2.342426785714287,-2.2895760729291617,-2.2728864427114726,-2.2269208083383356,-2.2854514667165633,0.037274206393161986
345.9249193191528,41.00459555266729,11.645648622512818,1.9902032466918897,1200,2,4,1e-06,sqrt,20,absolute_error,1e-07,False,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': False}",-9.316227777777758,-9.061290607513968,-9.005580155875277,-8.992582001201887,-8.262626772836537,-8.927661463041085,0.35253302464992703,35,-7.157808018207251,-7.166130717286885,-7.278843657462961,-7.252034583083341,-7.230944591081762,-7.21715231342444,0.04761884130480439
