Model,SearchTag,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_samples,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
RandomForest,bootstrap_true,242.66864175796508,22.736241121818484,5.5140196800231935,1.096903610609281,200,5,4,1e-05,0.7,0.4,,absolute_error,1e-06,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 0.4, 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 1e-06, 'bootstrap': True}",-8.26826486810552,-7.969682014388491,-7.942067146282973,-7.328197355769233,-7.714703786057694,-7.844583034120783,0.3124682356082823,14,-5.771890876350536,-5.860086104441778,-5.925441611644659,-5.760930533893221,-5.789563857228553,-5.821582596711749,0.06235760509359401
RandomForest,bootstrap_true,451.7218463897705,7.371704917389377,4.336225748062134,1.8827023928380582,1200,50,16,1e-05,0.5,,10,absolute_error,0.0,True,"{'n_estimators': 1200, 'min_samples_split': 50, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-05, 'max_samples': 0.5, 'max_features': None, 'max_depth': 10, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-10.337457553956837,-10.938769764188644,-9.57554045763387,-9.67298059895833,-9.65519554286859,-10.035988783521255,0.5281454370912688,35,-9.383691243997603,-9.41447395458183,-9.493046025910353,-9.565862517496488,-9.66861124025195,-9.505136996447643,0.10346638759625842
RandomForest,bootstrap_true,136.29423270225524,15.409444600800361,9.477056074142457,0.6255270295594987,1200,2,8,1e-07,0.9,0.4,20,friedman_mse,0.0,True,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",-9.194544496205765,-8.941876558854728,-8.579674293580231,-8.290999477385277,-8.45649571999256,-8.692718109203714,0.32980825832275573,25,-6.939909057067174,-7.140662023662755,-7.1274773133375025,-7.265004573374448,-7.01421103181517,-7.0974527998514105,0.11188505537330308
RandomForest,bootstrap_true,4.749799680709839,3.4818132880480603,1.5580702304840088,0.8932646963065811,200,10,8,1e-06,0.7,log2,60,friedman_mse,0.0,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 60, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",-20.643743823966936,-19.238970113384998,-19.985963792162373,-20.25119850553349,-18.665096527170167,-19.756994552443594,0.7132432050278835,49,-19.372185437253627,-19.52108823699797,-19.08704080681667,-19.517041720152857,-19.75423654336649,-19.450318548917522,0.21904427804659085
RandomForest,bootstrap_true,77.19695229530335,16.378716019022715,8.49345841407776,2.386874279370195,800,20,2,1e-07,0.7,0.2,80,squared_error,1e-07,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': 0.2, 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-8.512758421617349,-7.950543195596791,-8.037735463149989,-7.787239341740801,-7.946866730069549,-8.047028630434896,0.24650473475936174,17,-6.021159392385393,-6.080061420435897,-6.147192579993056,-6.159710997110837,-6.152065583298774,-6.112037994644792,0.05365107554438625
RandomForest,bootstrap_true,38.927318286895755,7.688047720312173,6.151963329315185,0.4719721504556505,200,20,8,0.0,0.7,0.8,40,squared_error,0.0,True,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 8, 'min_impurity_decrease': 0.0, 'max_samples': 0.7, 'max_features': 0.8, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-9.13190784229172,-8.96975797113461,-8.605562496854766,-8.299280922380976,-8.406081430913028,-8.68251813271502,0.32052083090719174,24,-7.154121859838569,-7.25424834015977,-7.369215742029793,-7.453399912239539,-7.170415263191991,-7.280280223491933,0.11536364614633811
RandomForest,bootstrap_true,162.03523960113526,11.845727171444274,4.9778242111206055,0.4569671622580637,200,20,16,1e-06,0.7,,40,absolute_error,1e-07,True,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': None, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-9.882077338129498,-10.043923980815348,-9.16932895683453,-9.039697295673077,-9.029059975961541,-9.432817509482799,0.43869702043616216,32,-8.55059494297719,-8.530505492196879,-8.624753436374549,-8.777930443911218,-8.691566796640672,-8.6350702224201,0.09140809318771995
RandomForest,bootstrap_true,21.068200397491456,4.026195441504929,4.198806190490723,1.0604124129443235,200,50,4,1e-06,0.5,log2,120,squared_error,0.0,True,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_samples': 0.5, 'max_features': 'log2', 'max_depth': 120, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-19.02087766142974,-18.176266506341925,-18.74404345961821,-18.951042960495997,-17.558023711587882,-18.49005085989475,0.5524379198560678,48,-17.6935969699759,-18.214808692593603,-17.849947662864416,-17.91476910911697,-18.43494577400187,-18.02161364171055,0.2670758988169524
RandomForest,bootstrap_true,570.2048779964447,25.164431794236364,2.5566253662109375,0.4213996483933979,400,2,8,1e-07,0.9,0.8,60,absolute_error,1e-05,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': 0.8, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-8.669590587529976,-8.598303956834538,-8.191975899280576,-7.560711959134608,-8.156370072115392,-8.235390494979018,0.3958676754284395,19,-6.670693674969989,-6.733955372148865,-6.770271466086427,-6.771822577984395,-6.685633450809848,-6.726475308399905,0.04197636859013798
RandomForest,bootstrap_true,981.4410202503204,5.657491425321202,0.40517582893371584,0.12670495082222816,1600,2,1,1e-05,0.7,0.4,20,absolute_error,1e-07,True,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-8.066128926858477,-7.633139171163051,-7.675756752098296,-7.391183353365353,-7.589772603665855,-7.671196161430205,0.2202171615218155,12,-5.144159783913513,-5.153678946578615,-5.047817817752067,-5.172444469855987,-5.029566777894388,-5.109533559198914,0.05883721985126737
