SMILES,shift_value,shielding_value
O=C1OC(C(F)(F)F)C2=C1C=CC=C2,-34.0,283.4323333
FC(Cl)(Cl)C(F)(Cl)Cl,-39.0,269.462
CC1(C)OC(C(F)(F)F)C2=C1C=CC=C2,-40.0,286.407
O=[N+]([O-])C(F)F,-50.7,300.6315
COC(=O)C(F)(F)[N+](=O)[O-],-53.0,295.124
N#CC(F)F,-60.0,324.6195
CC1=CC=CC(F)=C1,-68.0,307.626
[H]/C(F)=P/C1=C(C)C=C(C)C=C1C,-69.0,223.737
C/C=C/C(C)F,-87.0,382.722
CCOC(=O)C(F)(F)/C=C/C1=CC=CC=C1,-88.0,320.9055
O=C(OCF)C1=CC=CC=C1,-92.0,385.399
O=C(C1=CC=CC=C1)C(F)(F)Cl,-93.0,269.329
CCCCC(=O)OCF,-93.0,359.415
O=C(C1=CC=CC=C1)C(F)C1=CC=CC=C1,-99.0,394.872
N#CC1CCC(F)CC1CN1CNC(C2CCC2)CC1=O,-101.92,380.729
FC(I)I,-102.0,277.339
FCOC1=CC=NC(S)=N1,-102.0,362.155
O=S(=O)(C1CCC(F)CC1)N1CCCO1,-102.02,379.234
CN1CCC(CS(=O)(=O)C2CCC(F)CC2)CC1=O,-102.38,381.888
O=C(O)C1NOC2CC(F)CCC12,-102.47,379.627
CC(O)C1CCCN(CC2CC(F)CCC2C#N)C1,-102.88,374.066
N#CC1CC(C(=O)N2CCOCC23CC3)CCC1F,-103.56,382.948
O=S(=O)(CC1CCCC1)C1CCC(F)CC1,-104.04,388.286
N#CC1CC(C(=O)N2CC3CCCCC3C2)CCC1F,-104.17,391.693
CCN1CCN(S(=O)(=O)C2CCC(F)CC2)CC1,-104.48,388.468
N#CC1C(F)CCCC1-N1CCNC1,-104.54,381.472
CC1CC2C(=O)N(CC#N)CNC2CC1F,-104.72,407.07
CC1CC(OC2CCCC(F)C2C#N)NCN1,-105.0,382.394
FC1CC(Cl)C2CNCCC2C1,-105.07,394.363
CN(CC1CNN(C)C1)S(=O)(=O)C1CCC(F)CC1,-105.1,381.699
CC(C1CC1)N(C)S(=O)(=O)C1CCC(F)CC1,-105.63,399.209
N#CC1CCC(OC[C@H]2C[C@@H](O)C2)CC1F,-105.67,378.558
N#CC1C(F)CCCC1-N1CCCC1,-105.76,391.166
NS(=O)(=O)C1CCC(F)CC1,-106.08,378.741
N#CC1C(F)CCCC1OCC1CCON1,-106.12,377.63
N#CC1CCC(F)C(CN2CCOCC2)C1,-106.32,391.627
CC1CSC(NC(=O)C2CCC(F)CC2)N1,-106.34,384.72
CN1CCC2C(CCCN2C2CCCC(F)C2C#N)C1,-106.37,390.23
N#CC1CCC(F)C(CN2CCCCC2C(N)=O)C1,-106.39,391.12
N#CC1C(F)CCCC1N1CCCC(CC(N)=O)CC1,-106.45,376.311
CC1(C)COCCN1CC1CC(C#N)CCC1F,-106.49,412.23
N#CC1C(F)CCCC1N1CCCC(CCO)C1,-106.59,392.47
O=C(NC1CCNCC1)C1CCC(F)CC1,-106.73,385.517
CC1CNC(NC(=O)C2CCC(F)CC2)O1,-106.79,401.035
CN(CC1CCOC1)C1CCCC(F)C1C#N,-106.8,376.986
CC1NC2CC(F)CCC2CC1C(=O)N1CCOCC1C,-106.81,386.07
CC1NOC(C)C1NC(=O)C1CCC(F)CC1,-106.85,378.853
CC1NC2CC(F)CCC2CC1C(=O)NCC1CC1,-106.9,379.671
CC1CC(F)CCC1S(=O)(=O)NCC1CC1,-106.9,387.641
O=C(NC1CCCCN1)C1CCC(F)CC1,-106.95,382.205
N#CC1C(F)CCCC1OC[C@H]1C[C@@H](O)C1,-106.97,379.467
O=S(=O)(NC1CCNCC1)C1CCC(F)CC1,-106.99,387.227
CC1NNC(NC(=O)C2CCC(F)CC2Cl)N1C1CC1,-107.04,388.256
CC1NC2CC(F)CCC2CC1C(=O)N1CCCC1,-107.09,391.649
O=C(NC1CC(F)CCC1C(=O)O)C1CCOC1,-107.13,385.922
CN(C)C1NCCCC1NC(=O)C1CCC(F)CC1,-107.22,385.434
CC1CCCC(NS(=O)(=O)C2CCC(F)CC2)N1,-107.29,387.258
N#CC1CCC(CN2NCCCC2=O)CC1F,-107.34,379.84
N#CC1CCC(CN2CCCCC2=O)CC1F,-107.35,385.543
CC1CC(C)N(C2CN(CC3CC(C#N)CCC3F)C2)N1,-107.45,391.426
CN1CC(NC(=O)C2CCC(F)CC2Cl)CCC1=O,-107.63,388.573
CC1NC2CC(F)CCC2CC1C(=O)O,-107.66,389.351
CC1CC(C(=O)N2CCOCC2)C2CCC(F)CC2N1,-107.73,374.164
O=C(NCC1CCCNC1)C1CCC(F)CC1,-107.82,381.851
N#CC1C(F)CCCC1N[C@H]1C[C@@H](O)C1,-107.82,398.318
CC1CCCC(S(=O)(=O)N2CCOCC2C2CC2)C1F,-107.9,382.027
O=C(C1CCC(F)CC1)N1C2COCC1C2,-107.94,386.586
O=C(NCC1COC2CCCCC2O1)C1CCC(F)CC1,-107.97,380.966
N#CC1CCC(CNC2CCOC2)CC1F,-107.98,381.303
N#CC1C(F)CCCC1NCC1CCCCN1,-108.0,395.714
CC(=O)N1CCCC(C2NC(-C3CCC(F)CC3)NO2)C1,-108.06,383.395
N#CC1CCC(CN2CCOCC2)CC1F,-108.11,381.484
O=C(N[C@@H]1C[C@H]1CO)C1CCC(F)CC1,-108.12,384.206
CC1CCC(C(C)NC(=O)C2CCC(F)CC2)O1,-108.13,381.287
CC1CC(=O)NCCN1CC1CCC(C#N)C(F)C1,-108.17,374.855
COCC1CCN1C1CCCC(F)C1C#N,-108.22,380.227
O=C(NC1CCN(C(=O)C2CC2)CC1)C1CCC(F)CC1,-108.24,380.114
Cl.NCC1NOC2CC(F)CCC12,-108.26,380.954
CC(=O)NC1CN(C2CCCC(F)C2C#N)C1,-108.27,387.261
N#CC1C(F)CCCC1N[C@@H]1C[C@H]1CO,-108.29,380.221
COCC1CCN1C(=O)C1CCC(F)CC1,-108.37,398.634
FC1CCC2CCCNC2C1Cl,-108.59,393.833
CC1CC(S(=O)(=O)N(C)C2CCCCN2)CCC1F,-108.67,393.373
O=C(C1CCC(F)CC1Cl)N1CCCNCC1,-108.69,391.327
CCCN1CCC(C2NOC3CC(F)CCC23)CC1,-108.71,398.877
O=C(NC1CCCCC1O)C1CCC(F)CC1Cl,-108.79,388.362
N#CC1CCC(F)C(CNC(=O)NC2CCCCC2O)C1,-108.79,392.826
CN(C)CC1CCCN1S(=O)(=O)C1CCCCC1F,-108.84,382.916
CO[C@H]1C[C@@H](CO)N(C(=O)C2CCC(F)CC2Cl)C1,-108.89,394.587
CC(C)C1NC(=O)N(CC2CCC(F)C(C#N)C2)C1=O,-108.92,393.493
FC1CCC(-C2NC(CN3CCSCC3)CO2)CC1,-108.94,378.196
CC1CCC(S(=O)(=O)N2CCCO2)C(F)C1,-108.94,380.922
[H]/C(C1=CC=CC=C1)=C(\F)CO,-109.0,283.32
CC1CC(S(=O)(=O)N2CCCC2)CCC1F,-109.13,394.288
CN(CC1CCCO1)S(=O)(=O)C1CCCCC1F,-109.29,407.526
O=C1CCC2CN(S(=O)(=O)C3CCCCC3F)CCN12,-109.31,383.149
CCN(C1CCNCC1)S(=O)(=O)C1CCCCC1F,-109.56,381.709
CC1ONC(-C2CCC(F)CC2)C1C(=O)N1CCOCC1,-109.63,383.512
O=C(C1CCC(F)CC1)N1CCCC1C1CCCCN1,-109.65,381.889
O=S(=O)(C1CCCC(F)C1)N1CCCO1,-109.67,386.911
O=C(C1CCC(F)CC1)N1CCOC(C2CCCS2)C1,-109.69,378.969
CN(CC1CCC(F)C(C#N)C1)C1CCSC1,-109.69,382.018
CCC(C)C(=O)N1CCN(C(=O)C2CCC(F)CC2)CC1,-109.83,378.408
O=C(C1CCC(F)CC1)N1CC[C@@H](O)C1,-109.84,385.853
N#CC1CC(F)CC(N2CCOCC2)C1,-109.85,384.438
O=C(C1CCC(F)CC1)N1CCN(C(=O)C2CC2)CC1,-109.87,381.535
CC(=O)NC1CCCN(C2CCNC3CC(F)CCC23)C1,-109.93,380.562
CN1CCN(S(=O)(=O)C2CCCC(F)C2)CC1,-109.95,378.288
CN(CCC#N)C1CCNC2CC(F)CCC12,-109.96,390.185
O=S(=O)(NC1CCCC2OCCC21)C1CCCC(F)C1,-110.14,377.441
CN(CC(=O)N1CCCC1)C(=O)C1CCC(F)CC1,-110.14,398.454
O=C(NCC1CCCCC1F)NC1CNNS1,-110.15,378.074
O=S(=O)(CC1CCCCO1)C1CCCC(F)C1,-110.15,378.581
CC1(CNS(=O)(=O)C2CCCC(F)C2)CCNCC1.Cl,-110.2,383.561
CN1CNCC1CS(=O)(=O)C1CCCCC1F,-110.21,383.261
COC1CCC(C(=O)NC2CCCC(C)N2)C(F)C1,-110.21,390.46
O=S(=O)(C1CCCC(F)C1)N1CCCC1,-110.22,385.992
O=S(=O)(C1CCCC(F)C1)N1CCCCC1,-110.24,369.437
NS(=O)(=O)C1CNC2CCC(F)CC2C1,-110.27,398.279
OCC1CC(F)CCC1-N1CNCN1,-110.49,389.77
CC1CC(C(=O)NC2CC(C(N)=O)N(C)C2)CCC1F,-110.51,375.721
FC1CCCCC1-C1NNC(CN2CCCCC2)O1,-110.55,402.507
CC(O)CNC1CCC2CCC(F)CC2N1,-110.56,380.079
CN1CCC(N(C)C(=O)C2CCC(F)CC2)CC1,-110.56,381.587
N#CC1CNN(-C2CCCC(F)C2)C1N,-110.6,381.503
CN(C)C(=O)C1CCCN1C1CCC2CCC(F)CC2N1,-110.61,380.496
CN(CCC#N)C1CCC2CCC(F)CC2N1,-110.65,399.881
C[C@@H]1CN(CC2C(F)CCCC2Cl)CCN1,-110.79,379.437
O=C(O)C1CN(C(=O)C2CCC(F)CC2)CCS1,-110.82,382.08
CC1CCC2C(N1)OCCN2C(=O)C1CCC(F)CC1C,-110.85,380.029
O=C(O)C1CC(-C2CCC(F)CC2)NO1,-110.88,386.504
N#CC1CC(F)CCC1CN1CNCN1,-110.93,384.634
CC1CC(F)CC(S(=O)(=O)N2CCCC2CN)C1.Cl,-110.99,381.263
FCC1=NC2=CC=CC=C2C2=C1C=CC=C2,-111.0,419.883
FC1CCCC(Cl)C1-C1NN[NH]N1,-111.09,382.26
CCC1CCCCN1C(=O)NC1CCC(C(N)=O)C(F)C1,-111.12,380.519
CC1NC(N)N(-C2CCC(F)CC2C)N1,-111.17,377.837
CC1NC(C(=O)N2CCCC2)NN1-C1CCC(F)CC1,-111.2,380.817
NC(=O)C1CCCCC1NC(=O)C1CCC(F)C(Cl)C1,-111.21,380.141
O=S(=O)(NC1CCCNC1)C1CCCCC1F,-111.21,382.336
N[C@H]1CCN(C(=O)C2CCN(-C3CCCC(F)C3)N2)C1,-111.23,380.123
N#CC1C(F)CCCC1CN1CCOCC1,-111.25,382.522
CNC(=O)C1NC(C)N(-C2CCC(F)CC2)N1,-111.25,384.625
NC1NC(-C2CCC(F)CC2)N[NH]1,-111.26,400.586
O=S(=O)(NC1CCCC1)C1CCCCC1F,-111.33,398.234
CC1CC(F)CC(S(=O)(=O)N2CCCC2)C1,-111.35,395.939
CC1CCN(S(=O)(=O)C2CC(CO)CCC2F)CC1,-111.38,384.4
O=C(C1CCCO1)N1CCCSC2CCC(F)CC21,-111.43,376.35
N#CCCN1NC(-C2CCC(F)CC2)CCC1=O,-111.43,399.943
CC1CCCN1C(=O)CN1CNC2CCC(F)CC2C1=O,-111.44,392.166
CC1CC(F)CC(S(=O)(=O)NC2(C)CC2)C1,-111.47,378.675
O=C(NCC1NCCCN1)C1CCC(Cl)CC1F,-111.51,387.959
COC1CC(F)CC(NC(=O)N2CCOCC2)C1,-111.57,393.832
CC1NSCC1C(=O)N(C)C1CCCC(F)C1,-111.63,378.016
N#CC1CC(F)CCC1CN1CNC(C2CCC2)CC1=O,-111.64,401.44
CC(O)C1CCCCN1CC1CCC(F)CC1C#N,-111.65,401.055
CC1CC(NC(=O)NC2CC2)NN1-C1CCCC(F)C1,-111.68,384.574
Cl.O=C1CNCCN1C1CCCC(F)C1,-111.69,381.415
COC1CC(F)CC(CN2CC[C@@H](O)C2)C1,-111.7,392.19
CC1CCOCCN1C(=O)C(=O)NC1CCCC(F)C1,-111.71,398.704
CN1NCCC1C(=O)N1CCNCC1C1CCCC(F)C1,-111.72,378.877
O=S(=O)(NCC1CCCO1)C1CCCCC1F,-111.74,381.333
CCN1CCCN(C(=O)C(=O)NC2CCCC(F)C2)CC1,-111.74,381.944
CN1CCC(OC2CCCC(F)C2)C1=O,-111.74,390.966
Cl.FC1CCCC(OC2CCNCC2)C1,-111.76,388.125
CC1CC(F)CCC1C(=O)N1CCC(C)S(=O)(=O)CC1,-111.77,367.316
CCC1NNSC1C(=O)NC1CCCC(F)C1,-111.77,371.169
CN1CN(C(=O)C2CCCC(F)C2)CC1=O,-111.77,398.428
O=C(NC1CCCC1)C1CC(F)CCC1-N1CCNC1,-111.78,392.315
CC1N[NH]C(=O)C(C(=O)NC2CCCC(F)C2)C1C,-111.81,378.323
FC1CCC2NCNC(NC3CC3)C2C1,-111.85,379.543
CCN1CCC(N(C)C(=O)C2CCCC(F)C2)CC1,-111.86,388.35
CC1CCN(C(=O)COC2CCCC(F)C2)CC1,-111.86,389.152
O=C(NC1CC(F)CCC1-N1CCCN1)N1CCCC1,-111.86,390.251
CC1CC(C(=O)NCC2N[NH]C(=O)[NH]2)CCC1F,-111.89,392.219
CN1CCCC1C1COCCN1C(=O)C1CCCC(F)C1,-111.93,384.994
CCN(C1CCCC(F)C1)S(=O)(=O)C1CN[NH]C1,-111.94,381.404
O=C(O)C1CCC(=O)N(C2CCCC(F)C2)C1,-111.96,397.934
CC1NN(-C2CCC(F)CC2)C(N)C1C#N,-111.97,388.293
COC1NCCCC1C(=O)NC1CCCC(F)C1,-111.99,377.991
[H]/C(F)=C(/[H])C(=O)OCCCCCCCCCCCC,-112.0,287.485
CCCCCCC(F)SC,-112.0,365.221
CNS(=O)(=O)C1CCC(C(=O)NC2CCCC(F)C2)O1,-112.01,368.195
CCN1CC(NC(=O)C2CCC(Cl)CC2F)CCC1=O,-112.02,389.366
OC1CCNC(-C2CCCC(F)C2)C1,-112.03,380.519
O=C(CN1CCNC1)NC1CCCC(F)C1,-112.03,390.296
O=C(C1CCCC(F)C1)N1CCN(C(=O)C2CC2)CC1,-112.05,371.292
NC(=O)C1CCC(-C2CCC(F)CC2)O1,-112.05,398.925
O=C1NC(=O)C2(CCN(C(=O)C3CCCC(F)C3)CC2)N1,-112.07,381.618
CC(=O)N1CSCC1C(=O)NC1CCCC(F)C1,-112.07,381.824
CC1CCC(S(=O)(=O)N[C@@H]2CCCC[C@H]2N)C(F)C1.Cl,-112.08,360.864
CC1OCCC1C(=O)NC1CCC(C(=O)O)C(F)C1,-112.09,388.584
FC1CCC(C2CN(CC3CCON3)CCO2)C(Cl)C1,-112.09,390.666
CCN(C)C1CCCN(C2CCCC(F)C2)C1=O,-112.09,399.703
